"specimen";"num_amtl";"age_at_death";"age_sd";"prob_male";"genus";"sockets";"pop"
"AMNH99.1/100";0;37.5591283;6.89761633;0.5;"Homo sapiens";32;"Alaska"
"AMNH99.1/101";10;39.0329661;7.2151844;0.25;"Homo sapiens";22;"Alaska"
"AMNH99.1/102";1;34.8934044;5.70308472;0.25;"Homo sapiens";32;"Alaska"
"AMNH99.1/103";0;29.6004044;5.18766442;0.5;"Homo sapiens";32;"Alaska"
"AMNH99.1/104";0;44.0440145;8.29624584;0.25;"Homo sapiens";32;"Alaska"
"AMNH99.1/105";0;32.5480799;5.81978104;0.75;"Homo sapiens";32;"Alaska"
"AMNH99.1/107";3;56.1166683;10.2682079;0.5;"Homo sapiens";25;"Alaska"
"AMNH99.1/109";6;43.749247;8.23260632;0.75;"Homo sapiens";30;"Alaska"
"AMNH99.1/110";2;41.9806416;7.85088419;0.75;"Homo sapiens";15;"Alaska"
"AMNH99.1/111";0;42.2754092;7.9144902;0.5;"Homo sapiens";32;"Alaska"
"AMNH99.1/112";6;43.749247;8.23260632;0.25;"Homo sapiens";31;"Alaska"
"AMNH99.1/160";5;55;15;0.25;"Homo sapiens";13;"Alaska"
"AMNH99.1/59";14;48.8;10.5;0.25;"Homo sapiens";26;"Alaska"
"AMNH99.1/59-B";0;40;10;0.25;"Homo sapiens";16;"Alaska"
"AMNH99.1/60";2;37.8538959;6.96111299;0.5;"Homo sapiens";16;"Alaska"
"AMNH99.1/61";0;34.3166852;6.19980411;0.75;"Homo sapiens";32;"Alaska"
"AMNH99.1/64";6;43.1468959;7.47240717;0.25;"Homo sapiens";30;"Alaska"
"AMNH99.1/72";1;46.1073874;8.74186019;0.75;"Homo sapiens";31;"Alaska"
"AMNH99.1/75-A";0;31.3690097;5.56672472;0.75;"Homo sapiens";32;"Alaska"
"AMNH99.1/77";4;45.2;12.6;0.75;"Homo sapiens";31;"Alaska"
"AMNH99.1/79";2;39.4;9.1;0.25;"Homo sapiens";16;"Alaska"
"AMNH99.1/80(a)";1;46.1073874;8.74186019;0.75;"Homo sapiens";16;"Alaska"
"AMNH99.1/80(b)";0;43.749247;8.23260632;0.75;"Homo sapiens";15;"Alaska"
"AMNH99.1/83-A";7;32.0178426;3.7220627;0.25;"Homo sapiens";30;"Alaska"
"AMNH99.1/84-A";0;30.7794746;5.44029653;0.25;"Homo sapiens";32;"Alaska"
"AMNH99.1/84-B";12;48.8;10.5;0.25;"Homo sapiens";28;"Alaska"
"AMNH99.1/84-C";3;46.1073874;8.74186019;0.25;"Homo sapiens";16;"Alaska"
"AMNH99.1/84-D";0;33.137615;5.94640065;0.25;"Homo sapiens";16;"Alaska"
"AMNH99.1/86-C";5;47.2736416;8.3605854;0.25;"Homo sapiens";31;"Alaska"
"AMNH99.1/86-D";9;50.8236683;9.7611705;0.25;"Homo sapiens";28;"Alaska"
"AMNH99.1/87";8;45.2;12.6;0.75;"Homo sapiens";29;"Alaska"
"AMNH99.1/89-A";0;43.749247;8.23260632;0.75;"Homo sapiens";32;"Alaska"
"AMNH99.1/89-B";0;28.4213341;4.93536963;0.75;"Homo sapiens";32;"Alaska"
"AMNH99.1/90";12;55;15;0.75;"Homo sapiens";30;"Alaska"
"AMNH99.1/91-A";11;31.9585448;5.69322104;0.75;"Homo sapiens";32;"Alaska"
"AMNH99.1/91-B";9;50.8236683;9.7611705;0.5;"Homo sapiens";30;"Alaska"
"AMNH99.1/94";0;34.3166852;6.19980411;0.25;"Homo sapiens";32;"Alaska"
"AMNH99.1/96-A";0;37.8538959;6.96111299;0.75;"Homo sapiens";32;"Alaska"
"AMNH99.1/97";8;36.6748257;6.70718105;0.75;"Homo sapiens";30;"Alaska"
"AMNH99.1/98";2;30.7794746;5.44029653;0.75;"Homo sapiens";32;"Alaska"
"AMNH99.1/99";0;31.9585448;5.69322104;0.25;"Homo sapiens";32;"Alaska"
"BM1868.4.16.2";0;12.47378;3.29146087;1;"Pongo";32;"Borneo"
"BM1884.10.30.1";0;13.686453;3.71761878;1;"Pongo";16;"Borneo"
"BM1884.10.30.2";2;13.686453;3.71761878;1;"Pongo";32;"Borneo"
"BM1886.12.20.10";0;14.1715222;3.88831042;1;"Pongo";32;"Borneo"
"BM1898.2.28.11";0;13.9289876;3.80295048;1;"Pongo";32;"Borneo"
"BM1899.11.6.1";0;17.1217143;3.06608828;0;"Papio";32;"Arabia"
"BM1899.6.10.2";0;18.5922731;3.4773143;1;"Papio";32;"East Africa"
"BM1899.7.8.1";0;23.0253446;4.35428022;1;"Papio";32;"East Africa"
"BM1900.3.18.1";0;18.5922731;3.4773143;1;"Papio";32;"East Africa"
"BM1900.6.28.1";0;11.454619;2.00186723;1;"Papio";32;"Arabia"
"BM1901.2.13.1";0;18.9952796;3.55691242;1;"Papio";32;"West Africa"
"BM1901.8.9.23";0;18.5922731;3.4773143;0;"Papio";32;"East Africa"
"BM1902.11.22.1";0;12.485;2.19399907;1;"Papio";32;"Arabia"
"BM1902.9.2.1";0;19.8012926;3.71619727;1;"Papio";32;"East Africa"
"BM1902.9.9.3";0;22.6223381;4.27445115;1;"Papio";29;"East Africa"
"BM1904.11.5.2";0;21.4133186;4.03507241;1;"Papio";32;"East Africa"
"BM1904.8.2.1";0;12.485;2.19399907;1;"Papio";32;"Arabia"
"BM1904.8.2.3";0;17.1217143;3.06608828;1;"Papio";32;"East Africa"
"BM1905.5.10.1";0;21.8163251;4.1148462;1;"Papio";32;"West Africa"
"BM1906.11.1.6";0;20.2042991;3.79588028;1;"Papio";32;"East Africa"
"BM1907.7.8.11";0;19.8012926;3.71619727;1;"Papio";32;"Central Africa"
"BM1908.7.17.1";0;16.5968682;4.74312763;1;"Pongo";16;"Borneo"
"BM1908.8.9.41";0;19.3982861;3.63654073;1;"Papio";16;"East Africa"
"BM1908.8.9.42";0;23.8313576;4.51398683;0;"Papio";32;"East Africa"
"BM1909.6.11";0;14.0305714;2.48359763;1;"Papio";32;"East Africa"
"BM1910.10.3.1";0;13.0001905;2.29036872;1;"Papio";28;"East Africa"
"BM1911.12.1.1";0;18.1892666;3.39774848;1;"Papio";32;"East Africa"
"BM1913.10.18.2";1;19.3982861;3.63654073;1;"Papio";32;"East Africa"
"BM1913.10.18.3";0;24.2343641;4.59386268;1;"Papio";16;"East Africa"
"BM1914.3.8.2";0;26.6524031;5.07338879;0;"Papio";32;"East Africa"
"BM1918.11.8.1";0;22.6223381;4.27445115;1;"Papio";16;"East Africa"
"BM1922.12.19.6";0;18.1892666;3.39774848;1;"Papio";32;"Central Africa"
"BM1923.3.4.3";0;28.2644291;5.39328887;0;"Papio";32;"East Africa"
"BM1924.2.25.1";0;20.6073056;3.87558812;1;"Papio";32;"East Africa"
"BM1924.8.6.15";0;19.3982861;3.63654073;1;"Papio";32;"West Africa"
"BM1924.8.6.16";0;24.2343641;4.59386268;0;"Papio";32;"West Africa"
"BM1925.5.12.1";0;21.8163251;4.1148462;1;"Papio";32;"West Africa"
"BM1927.8.14.1";0;16.0913333;2.87155209;0;"Papio";16;"East Africa"
"BM1930.12.1.2";0;20.2042991;3.79588028;0;"Papio";32;"East Africa"
"BM1931.4.1.1";0;19.3982861;3.63654073;1;"Papio";32;"East Africa"
"BM1932.7.6.1";0;13.515381;2.38690817;1;"Papio";32;"East Africa"
"BM1934.11.20.1";0;18.5922731;3.4773143;1;"Papio";32;"East Africa"
"BM1935.10.22.24";0;21.0103121;3.95531929;0;"Papio";16;"West Africa"
"BM1935.2.14.1";0;19.3982861;3.63654073;1;"Papio";32;"East Africa"
"BM1936.12.28.1";0;18.5922731;3.4773143;1;"Papio";32;"East Africa"
"BM1936.12.28.2";0;18.5922731;3.4773143;1;"Papio";32;"East Africa"
"BM1938.7.17.1";1;32.6684551;6.16831052;1;"Papio";32;"Central Africa"
"BM1939.1005";0;14.1715222;3.88831042;1;"Pongo";16;"Borneo"
"BM1939.1006";0;11.2611071;2.86641;1;"Pongo";16;"Borneo"
"BM1939.1007";0;9.80589949;2.35865298;0;"Pongo";32;"Borneo"
"BM1939.1008";0;11.2611071;2.86641;0;"Pongo";32;"Borneo"
"BM1939.1021";0;20.6073056;3.87558812;1;"Papio";32;"West Africa"
"BM1962.25";0;19.8012926;3.71619727;0;"Papio";32;"East Africa"
"BM1964.2174";0;19.3982861;3.63654073;0;"Papio";32;"East Africa"
"BM1971.2353";0;22.6223381;4.27445115;1;"Papio";16;"West Africa"
"BM1971.2354";0;21.0103121;3.95531929;1;"Papio";17;"West Africa"
"BM1976.1408";0;16.3543336;4.65756455;0;"Pongo";33;"Borneo"
"BM1976.1409";0;13.9289876;3.80295048;0;"Pongo";32;"Borneo"
"BM1976.1415";0;12.2312454;3.20634803;0;"Pongo";32;"Borneo"
"BM1976.1416";0;11.5036417;2.95130863;0;"Pongo";31;"Borneo"
"BM1976.1417";0;11.2611071;2.86641;0;"Pongo";16;"Borneo"
"BM1976.1418";0;11.2611071;2.86641;0;"Pongo";32;"Borneo"
"BM1976.1419";0;11.2611071;2.86641;0;"Pongo";32;"Borneo"
"BM1976.1420";0;11.0185725;2.78157736;0;"Pongo";30;"Borneo"
"BM1976.1421";0;10.7760379;2.69681693;0;"Pongo";32;"Borneo"
"BM1976.1422";0;11.7461763;3.03626772;0;"Pongo";32;"Borneo"
"BM1976.1423";0;11.2611071;2.86641;0;"Pongo";32;"Borneo"
"BM1976.1424";0;13.686453;3.71761878;1;"Pongo";32;"Borneo"
"BM1976.1425";0;11.5036417;2.95130863;1;"Pongo";33;"Borneo"
"BM1976.1426";0;11.9887109;3.12128232;1;"Pongo";32;"Borneo"
"BM1976.1427";0;14.4140568;3.97369678;0;"Pongo";32;"Borneo"
"BM1976.1428";0;12.7163146;3.37661729;1;"Pongo";32;"Borneo"
"BM1976.1429";0;9.80589949;2.35865298;0.5;"Pongo";32;"Borneo"
"BM1976.1430";0;10.5335033;2.61213574;0;"Pongo";32;"Borneo"
"BM1976.1431";0;12.47378;3.29146087;1;"Pongo";32;"Borneo"
"BM1976.1434";0;11.5036417;2.95130863;1;"Pongo";32;"Borneo"
"BM1976.1435";0;9.0782957;2.10624751;1;"Pongo";32;"Borneo"
"BM1976.1436";0;10.7760379;2.69681693;1;"Pongo";32;"Borneo"
"BM1976.1437";0;11.2611071;2.86641;1;"Pongo";16;"Borneo"
"BM1976.1438";0;8.83576111;2.02242151;1;"Pongo";16;"Borneo"
"BM1976.1439";0;8.59322651;1.93878354;1;"Pongo";32;"Borneo"
"BM1976.1440";0;12.2312454;3.20634803;1;"Pongo";32;"Borneo"
"BM1976.1442";0;10.7760379;2.69681693;1;"Pongo";32;"Borneo"
"BM1976.1443";0;11.7461763;3.03626772;1;"Pongo";34;"Borneo"
"BM50a";0;13.0001905;2.29036872;1;"Papio";32;"East Africa"
"BRK125458";1;29.1041325;3.72712188;0.25;"Homo sapiens";24;"Native Californian"
"BRK125462";8;48.4791205;5.71046472;0.25;"Homo sapiens";32;"Native Californian"
"BRK125598";0;27.6373976;3.70258313;0.75;"Homo sapiens";25;"Native Californian"
"BRK125610";1;23.0458795;2.9625106;0.5;"Homo sapiens";31;"Native Californian"
"BRK125660";5;51.5;12.6;0.75;"Homo sapiens";31;"Native Californian"
"BRK125661";0;32.3564578;4.25426601;0.75;"Homo sapiens";32;"Native Californian"
"BRK125666";0;36.5653494;4.94131337;0.25;"Homo sapiens";16;"Native Californian"
"BRK125670";1;35.8000964;4.81608016;0.5;"Homo sapiens";23;"Native Californian"
"BRK125675";5;36.9479759;5.00397466;0.5;"Homo sapiens";33;"Native Californian"
"BRK125676";0;36.7566627;4.97264041;0.75;"Homo sapiens";29;"Native Californian"
"BRK125678";3;39.6263614;5.44334199;0.75;"Homo sapiens";31;"Native Californian"
"BRK125679";0;32.7390843;4.31652929;0.75;"Homo sapiens";32;"Native Californian"
"BRK125800";0;28.5301928;3.63455838;0.75;"Homo sapiens";29;"Native Californian"
"BRK125802";3;36.7566627;4.97264041;0.75;"Homo sapiens";26;"Native Californian"
"BRK125810";1;30.5070964;4.16980327;0.75;"Homo sapiens";32;"Native Californian"
"BRK125811";0;34.6522169;4.62847197;0.75;"Homo sapiens";28;"Native Californian"
"BRK125821";0;37.1392892;5.035316;0.75;"Homo sapiens";32;"Native Californian"
"BRK125822";0;30.3157831;4.13857528;0.25;"Homo sapiens";32;"Native Californian"
"BRK125827";0;27.5736265;3.48066219;0.75;"Homo sapiens";32;"Native Californian"
"BRK125832";2;45.6;10.4;0.75;"Homo sapiens";16;"Native Californian"
"BRK126049";0;29.2954458;3.75801123;0.5;"Homo sapiens";31;"Native Californian"
"BRK126054";0;23.6198193;3.05433283;0.25;"Homo sapiens";15;"Native Californian"
"BRK126076";0;35.8000964;4.81608016;0.5;"Homo sapiens";16;"Native Californian"
"BRK126087";0;20.1761807;2.50774612;0.5;"Homo sapiens";32;"Native Californian"
"BRK126089";4;26.6808313;3.54750963;0.75;"Homo sapiens";32;"Native Californian"
"BRK126092";1;37.5219157;5.09801939;0.75;"Homo sapiens";32;"Native Californian"
"BRK126094";0;25.9155783;3.42374303;0.75;"Homo sapiens";32;"Native Californian"
"BRK126100";7;25.0865542;3.08319431;0.25;"Homo sapiens";32;"Native Californian"
"BRK126104";0;23.6198193;3.05433283;0.75;"Homo sapiens";32;"Native Californian"
"BRK126107";5;23.6198193;3.05433283;0.25;"Homo sapiens";32;"Native Californian"
"BRK126113";1;32.9941687;4.35806278;0.75;"Homo sapiens";32;"Native Californian"
"BRK126117";0;26.2982048;3.48559185;0.25;"Homo sapiens";32;"Native Californian"
"BRK126118";1;26.6808313;3.54750963;0.25;"Homo sapiens";32;"Native Californian"
"BRK126121";1;36.5653494;4.94131337;0.25;"Homo sapiens";32;"Native Californian"
"BRK126124";0;22.0893133;2.81004779;0.75;"Homo sapiens";32;"Native Californian"
"BRK126125";5;41.1;10;0.25;"Homo sapiens";15;"Native Californian"
"BRK126243";16;25.5967229;3.16436617;0.75;"Homo sapiens";30;"Native Californian"
"BRK126244";0;26.1068916;3.45465859;0.75;"Homo sapiens";31;"Native Californian"
"BRK126247";0;39.6263614;5.44334199;0.25;"Homo sapiens";32;"Native Californian"
"BRK126248";0;28.5939639;3.85801676;0.25;"Homo sapiens";32;"Native Californian"
"BRK126250";0;26.2982048;3.48559185;0.25;"Homo sapiens";30;"Native Californian"
"BRK126251";0;29.9331566;4.07615043;0.75;"Homo sapiens";32;"Native Californian"
"BRK126252";0;22.4719398;2.87094128;0.25;"Homo sapiens";32;"Native Californian"
"BRK126256";0;32.0376024;4.41997173;0.25;"Homo sapiens";32;"Native Californian"
"BRK126259";0;32.1651446;4.22315152;0.25;"Homo sapiens";31;"Native Californian"
"BRK126260";1;36.3740361;4.90999368;0.25;"Homo sapiens";32;"Native Californian"
"BRK126261";0;32.3564578;4.25426601;0.25;"Homo sapiens";32;"Native Californian"
"BRK126264";0;37.1392892;5.035316;0.25;"Homo sapiens";29;"Native Californian"
"BRK126266";8;36.5653494;4.94131337;0.5;"Homo sapiens";32;"Native Californian"
"BRK126271";10;25.8518072;3.20502776;0.5;"Homo sapiens";31;"Native Californian"
"BRK126291";1;22.0893133;2.81004779;0.5;"Homo sapiens";7;"Native Californian"
"BRK126292";0;36.5653494;4.94131337;0.5;"Homo sapiens";31;"Native Californian"
"BRK126472";0;28.5939639;3.85801676;0.25;"Homo sapiens";32;"Native Californian"
"BRK126755";0;26.1068916;3.45465859;0.75;"Homo sapiens";22;"Native Californian"
"BRK126757";0;31.6549759;4.14023787;0.75;"Homo sapiens";32;"Native Californian"
"BRK126758";0;23.6198193;3.05433283;0.25;"Homo sapiens";32;"Native Californian"
"BRK126760";0;26.2982048;3.48559185;0.75;"Homo sapiens";30;"Native Californian"
"BRK126761";2;35.8000964;4.81608016;0.75;"Homo sapiens";32;"Native Californian"
"BRK126764";0;23.2371928;2.99309106;0.75;"Homo sapiens";32;"Native Californian"
"BRK126765";1;29.7418434;4.04495405;0.5;"Homo sapiens";30;"Native Californian"
"BRK126766";0;26.6808313;3.54750963;0.75;"Homo sapiens";32;"Native Californian"
"BRK126767";0;31.2085783;4.06776118;0.75;"Homo sapiens";32;"Native Californian"
"BRK126768";8;37.3306024;5.06666429;0.25;"Homo sapiens";28;"Native Californian"
"BRK126773";5;39.6263614;5.44334199;0.75;"Homo sapiens";32;"Native Californian"
"BRK126774";8;22.8545663;2.93195822;0.25;"Homo sapiens";32;"Native Californian"
"BRK126776";3;38.8611084;5.31768598;0.5;"Homo sapiens";32;"Native Californian"
"HTB0802";0;14.23;6.474995012;1;"Papio";32;"East Africa"
"HTB0828";0;9.18292308;2.429595478;1;"Papio";32;"South Africa"
"HTB0890";0;17.8945;3.21217946;1;"Papio";32;"East Africa"
"HTB0900";0;15.3185476;2.72587272;1;"Papio";32;"East Africa"
"HTB1025";2;18.6672857;3.35840919;1;"Papio";32;"East Africa"
"HTB1027";0;18.6672857;3.35840919;0;"Papio";32;"East Africa"
"HTB1028";0;13.7729762;2.43523526;0;"Papio";32;"East Africa"
"HTB1043";1;16.0913333;2.87155209;1;"Papio";32;"East Africa"
"HTB1151";0;13.515381;2.38690817;1;"Papio";32;"East Africa"
"HTB1152";0;13.2577857;2.33861853;1;"Papio";32;"East Africa"
"HTB1153";0;13.0001905;2.29036872;1;"Papio";16;"East Africa"
"HTB1154";0;15.0609524;2.67736152;1;"Papio";32;"East Africa"
"HTB1212";1;11.167;4.778975048;1;"Papio";32;"Central Africa"
"HTB1214";0;14.8033571;2.62887685;1;"Papio";32;"East Africa"
"HTB1215";0;12.7010476;2.18171291;1;"Papio";32;"East Africa"
"HTB1216";2;17.6369048;3.16346606;1;"Papio";32;"East Africa"
"HTB1217";1;16.6065238;2.96878123;1;"Papio";31;"East Africa"
"HTB1218";0;13.7729762;2.43523526;1;"Papio";32;"East Africa"
"HTB1219";0;15.7921905;2.76002868;1;"Papio";32;"East Africa"
"HTB1220";0;15.5761429;2.77440906;1;"Papio";32;"East Africa"
"HTB1221";0;17.6369048;3.16346606;1;"Papio";32;"East Africa"
"HTB1222";0;14.8033571;2.62887685;0;"Papio";32;"East Africa"
"HTB1223";0;16.0913333;2.87155209;1;"Papio";32;"East Africa"
"HTB1225";0;16.307381;2.85690736;1;"Papio";32;"East Africa"
"HTB1226";0;14.2881667;2.53199324;1;"Papio";32;"East Africa"
"HTB1426";0;17.204185;3.2920468;0;"Pan";32;"Ebolwa"
"HTB1497";0;11.454619;2.00186723;1;"Papio";31;"East Africa"
"HTB1503";0;11.9698095;2.09782262;0;"Papio";32;"East Africa"
"HTB1701";0;26.2620552;5.35897499;0;"Pan";32;"French Cameroons"
"HTB1703";0;20.5137914;4.0457765;0;"Pan";32;"French Cameroons"
"HTB1706";0;17.3783748;3.33164782;0;"Pan";31;"Ebolwa"
"HTB1707";0;17.3783748;3.33164782;0;"Pan";28;"Ebolwa"
"HTB1708";0;21.5589303;4.28424336;0;"Pan";32;"Ebolwa"
"HTB1713";0;20.5137914;4.0457765;0;"Pan";32;"Ebolwa"
"HTB1718";0;18.075134;3.49014071;0;"Pan";32;"Ebolwa"
"HTB1719";1;24.9556316;5.06022442;0;"Pan";30;"Ebolwa"
"HTB1720";12;11.630111;2.03288089;0;"Pan";32;"Ebolwa"
"HTB1721";0;18.4235137;3.56943631;0;"Pan";32;"Ebolwa"
"HTB1722";0;20.6879812;4.08550898;0;"Pan";32;"Ebolwa"
"HTB1723";0;24.6943469;5.00049123;0;"Pan";32;"Ebolwa"
"HTB1724";0;18.4235137;3.56943631;0;"Pan";32;"Ebolwa"
"HTB1726";5;25.6120692;4.90072026;0;"Pan";32;"Ebolwa"
"HTB1735";0;18.9460831;3.68843519;0;"Pan";32;"Ebolwa"
"HTB1737";0;27.8297635;5.71763847;0;"Pan";28;"Ebolwa"
"HTB1738";0;19.4686525;3.80749511;0;"Pan";32;"Ebolwa"
"HTB1739";0;21.0363609;4.16498874;0;"Pan";32;"Ebolwa"
"HTB1741";0;28.352333;5.83722718;0;"Pan";32;"Ebolwa"
"HTB1744";0;19.991222;3.92661051;0;"Pan";32;"Ebolwa"
"HTB1745";0;18.9460831;3.68843519;0;"Pan";32;"Ebolwa"
"HTB1748";5;33.5780273;7.03383117;0;"Pan";31;"Ebolwa"
"HTB1758";0;19.991222;3.92661051;0;"Pan";32;"Ebolwa"
"HTB1768";0;19.991222;3.92661051;0;"Pan";32;"Ebolwa"
"HTB1775";1;26.1346386;5.01978364;0;"Pan";30;"French Cameroons"
"HTB1791";0;21.5589303;4.28424336;0;"Pan";32;"Ebolwa"
