fish_caught;livebait;camper;persons;child;hours
0;0;0;1;0;21.124
0;1;1;1;0;5.732
0;1;0;1;0;1.323
0;1;1;2;1;0.548
1;1;0;1;0;1.695
0;1;1;4;2;0.493
0;1;0;3;1;0.033
0;1;0;4;3;0.004
0;0;1;3;2;0.217
1;1;1;1;0;4.031
0;1;0;4;1;0.145
0;1;1;3;2;0.084
1;0;0;3;0;4.91
2;1;0;3;0;2.292
0;1;1;1;0;16.787
1;1;1;1;0;8.657
0;1;0;4;1;0.046
0;1;1;3;2;0.142
1;1;1;2;1;0.83
0;1;0;3;1;0.888
1;1;0;4;1;1.002
5;1;1;4;0;6.638
0;1;1;2;1;0.745
3;1;1;2;0;6.902
30;1;1;3;0;4.269
0;1;1;2;0;16.734
13;1;1;4;0;5.241
0;1;0;2;1;0.345
0;1;0;1;0;1.084
0;1;0;4;3;0.008
0;1;0;1;0;2.514
0;1;1;3;1;0.515
11;1;1;4;0;33.394
5;1;1;4;1;1.193
0;1;1;1;0;2.164
1;0;0;2;0;5.242
1;1;1;2;1;0.526
7;1;1;4;1;3.471
0;1;1;3;1;0.103
14;1;1;4;1;0.229
0;1;1;1;0;20.501
32;1;1;4;0;10.545
0;0;0;3;2;0.046
1;0;1;4;0;14.528
0;1;0;4;2;0.07
0;1;1;1;0;8.441
0;1;1;2;1;1.355
1;1;0;1;0;4.726
5;1;1;2;1;1.872
0;1;0;2;1;0.128
1;1;1;2;1;1.329
0;1;1;2;1;0.493
22;1;1;4;0;4.552
0;0;0;2;0;8.001
15;1;1;3;0;13.864
0;0;1;1;0;65.34
0;1;1;1;0;8.353
0;1;1;1;0;3.863
5;1;1;4;1;3.53
4;1;1;1;0;5.099
2;1;0;2;0;2.955
0;1;1;2;1;8.127
2;1;0;2;1;0.929
32;1;1;4;0;12.781
0;1;0;4;3;0.015
0;1;1;1;0;4.957
1;1;0;1;0;3.04
0;1;0;3;2;0.063
0;1;1;1;0;7.475
0;1;1;2;1;0.277
7;1;1;3;0;9.667
0;1;0;4;3;0.007
0;0;0;4;2;0.067
0;1;1;3;2;0.04
0;0;1;1;0;2.493
0;1;0;2;0;0.65
0;1;0;3;2;0.043
0;1;1;1;0;26.244
0;1;0;2;1;0.788
2;1;0;4;0;4.031
3;1;1;4;1;0.664
1;1;0;2;1;0.726
5;1;1;3;0;14.212
0;1;0;1;0;1.279
2;1;1;1;0;5.578
1;0;0;3;1;0.578
0;0;0;4;1;0.078
1;1;1;1;0;9.611
149;1;1;4;0;35.592
0;1;1;3;2;0.063
1;1;1;3;1;0.677
0;1;0;2;0;1.093
0;1;1;3;0;2.643
1;1;0;2;1;1.024
0;1;0;4;2;0.177
0;1;1;3;1;0.223
0;1;0;4;2;0.013
2;0;0;4;0;0.486
2;1;1;2;0;19.356
29;1;0;4;0;2.364
3;1;1;1;0;7.851
0;0;1;2;0;9.643
0;1;0;4;2;0.126
5;0;0;3;0;0.895
0;1;1;2;0;0.712
0;1;0;4;1;0.069
0;1;1;1;0;2.044
0;1;0;3;1;0.146
0;1;1;4;1;0.145
1;1;1;4;1;3.901
7;1;1;1;0;24.001
1;1;1;2;0;8.369
0;1;0;1;0;0.159
2;0;0;4;1;2.081
0;1;0;3;2;0.113
2;1;0;2;0;3.647
0;1;0;2;1;0.777
0;1;0;4;1;0.464
0;0;1;3;1;0.428
1;1;1;3;2;0.389
0;1;0;2;1;0.198
0;1;0;1;0;12.361
0;0;1;4;3;0.06
0;1;0;1;0;1.792
0;0;1;4;3;0.052
3;1;0;4;1;0.476
4;1;1;1;0;9.633
3;1;1;3;0;31.459
3;1;0;2;0;3.659
8;1;1;4;0;71.036
2;0;1;3;0;21.298
1;1;1;1;0;7.736
6;1;0;4;0;12.389
0;1;1;4;2;0.138
0;1;1;2;1;3.56
5;1;0;4;0;2.281
3;1;1;4;1;1.032
31;1;0;3;1;2.017
0;1;1;2;1;0.851
2;1;0;2;0;10.432
0;1;1;4;3;0.011
0;1;1;2;1;0.151
0;0;0;3;0;1.404
0;1;1;3;1;0.216
0;1;0;1;0;3.691
0;1;0;2;0;0.522
6;1;1;4;0;35.413
9;1;0;3;0;14.755
0;0;1;3;2;0.127
0;0;1;2;1;1.152
0;1;1;1;0;7.955
0;1;1;2;1;0.62
0;1;0;1;0;1.165
2;1;0;2;0;0.614
15;1;0;3;0;1.46
1;1;1;1;0;5.072
2;1;1;2;0;7.504
3;1;1;3;1;0.912
0;1;1;1;0;9.75
65;1;1;4;0;3.905
5;1;1;3;0;4.385
0;1;0;1;0;1.203
0;1;1;3;2;0.039
0;1;0;4;1;0.204
0;1;0;4;2;0.043
1;1;0;1;0;9.432
8;1;1;4;1;0.925
0;1;1;3;0;12.136
0;1;1;3;2;0.101
0;1;1;4;3;0.019
2;1;1;3;0;13.549
4;1;1;2;1;4.652
5;1;0;4;0;6.215
9;1;0;2;0;11.008
0;1;0;4;2;0.055
0;1;0;2;0;24.031
0;1;1;2;0;5.817
0;1;0;1;0;3.245
21;1;1;2;0;11.812
0;1;0;1;0;1.415
6;1;1;3;0;10.054
0;1;0;2;1;0.434
0;0;1;2;0;18.943
0;1;1;2;1;0.668
0;1;0;3;1;0.208
16;1;1;4;1;2.586
0;0;0;3;2;0.031
0;1;1;3;2;0.179
4;1;1;4;0;32.206
2;1;1;2;1;1.82
10;1;1;3;0;13.179
0;0;1;1;0;5.104
0;1;1;1;0;6.946
0;0;0;1;0;1.157
2;0;1;2;0;19.554
1;1;1;2;0;3.624
3;1;0;1;0;2.723
0;1;1;3;1;0.362
0;1;1;4;2;0.092
21;1;1;2;0;3.658
0;1;0;2;1;0.125
0;1;0;2;0;9.964
2;0;1;1;0;9.075
0;0;1;2;1;4.811
3;1;1;4;1;0.42
0;1;1;3;1;0.315
38;1;1;4;0;3.285
0;1;1;4;3;0.01
0;1;1;1;0;11.767
0;1;0;1;0;1.293
1;1;1;1;0;18.708
3;1;0;1;0;35.388
0;1;1;1;0;4.083
1;1;0;2;0;9.216
0;1;0;4;2;0.009
0;0;0;2;1;0.324
0;1;0;4;2;0.041
0;1;0;3;1;0.067
5;1;1;4;2;1.775
0;1;0;4;2;0.113
0;0;0;4;1;0.275
2;1;0;3;0;1.005
0;1;1;2;1;4.349
0;1;1;1;0;2.606
0;1;0;2;1;0.515
1;1;1;2;0;17.493
4;1;1;3;1;20.896
0;1;0;1;0;1.843
0;1;1;3;2;0.095
2;1;1;2;1;3.955
3;1;1;1;0;8.508
0;1;0;4;2;0.064
0;1;0;3;1;0.168
0;1;0;2;0;2.724
0;0;0;2;0;0.643
1;1;1;1;0;25.568
2;1;1;2;0;2.583
0;1;1;1;0;2.14
6;1;1;3;0;8.663
4;1;1;2;0;2.529
1;1;1;2;0;35.574
1;1;1;4;2;0.268
0;0;0;2;0;2.88
1;1;1;3;1;0.48
0;1;0;3;0;3.727
0;1;1;2;0;10.219
0;1;1;4;3;0.004
0;1;1;2;1;1.969
0;1;1;3;2;0.075
0;1;1;2;1;0.233