Species;Year;Male;NoDisperse;Mother;Sisters;Bros;ClanSize;AllKin
1;1976;1;1;1;0;1;4;2
1;1976;1;1;1;0;1;4;2
1;1976;1;0;0;0;1;9;1
1;1976;1;1;0;0;0;8;0
1;1976;1;1;1;0;0;8;1
1;1976;1;1;1;0;0;6;1
1;1976;1;0;1;1;0;14;2
1;1976;1;1;1;1;0;13;2
1;1976;1;1;1;3;0;6;4
1;1976;1;0;1;1;0;6;2
1;1976;1;1;0;2;0;9;2
1;1976;1;1;0;0;0;7;0
1;1976;1;1;1;1;1;7;3
1;1976;1;1;1;1;1;7;3
1;1976;1;0;1;2;0;6;3
1;1976;1;0;0;2;0;5;2
1;1977;1;0;1;1;0;7;2
1;1977;1;1;1;0;0;5;1
1;1977;1;1;0;0;0;10;0
1;1977;1;1;1;0;1;15;2
1;1977;1;1;1;0;1;15;2
1;1977;1;1;1;2;0;15;3
1;1977;1;1;1;0;0;5;1
1;1977;1;0;1;1;1;5;3
1;1977;1;1;1;1;0;4;2
1;1977;1;1;1;0;0;7;1
1;1977;1;1;1;1;0;11;2
1;1977;1;1;1;3;0;11;4
1;1977;1;1;1;2;0;15;3
1;1977;1;1;1;2;0;15;3
1;1977;1;1;1;1;0;6;2
1;1977;1;1;0;1;0;10;1
1;1977;1;1;1;1;1;10;3
1;1977;1;1;1;1;1;10;3
1;1977;1;1;1;1;0;7;2
1;1978;1;1;1;1;0;10;2
1;1978;1;1;1;0;0;10;1
1;1978;1;1;1;1;1;5;3
1;1978;1;1;1;1;1;5;3
1;1978;1;1;1;1;0;11;2
1;1978;1;1;1;1;0;11;2
1;1978;1;1;1;0;0;11;1
1;1978;1;1;1;1;0;11;2
1;1978;1;1;1;1;0;5;2
1;1978;1;1;1;2;1;7;4
1;1978;1;1;1;2;1;7;4
1;1978;1;1;1;0;0;10;1
1;1978;1;1;0;0;0;10;0
1;1978;1;1;1;1;2;6;4
1;1978;1;1;1;1;2;6;4
1;1978;1;1;1;1;2;6;4
1;1978;1;1;1;0;0;9;1
1;1979;1;1;1;0;2;16;3
1;1979;1;1;1;0;2;16;3
1;1979;1;1;1;0;2;16;3
1;1979;1;1;0;0;1;16;1
1;1979;1;1;0;0;1;16;1
1;1979;1;1;1;0;1;16;2
1;1979;1;1;1;0;1;16;2
1;1979;1;1;1;0;0;6;1
1;1979;1;1;1;2;0;8;3
1;1979;1;1;0;1;0;4;1
1;1979;1;1;1;0;0;7;1
1;1979;1;1;1;2;0;7;3
1;1979;1;1;1;0;2;10;3
1;1979;1;1;1;0;2;10;3
1;1979;1;1;1;0;2;10;3
1;1980;1;1;1;1;2;6;4
1;1980;1;1;1;1;2;6;4
1;1980;1;1;1;1;2;6;4
1;1980;1;1;1;2;0;6;3
1;1980;1;0;1;2;0;6;3
1;1980;1;1;1;1;1;9;3
1;1980;1;1;1;1;1;9;3
1;1980;1;1;1;1;1;9;3
1;1980;1;1;1;1;1;9;3
1;1980;1;1;0;0;1;6;1
1;1980;1;1;0;0;1;6;1
1;1980;1;1;0;0;1;2;1
1;1980;1;1;0;0;1;2;1
1;1980;1;1;1;1;2;13;4
1;1980;1;1;1;1;2;13;4
1;1980;1;1;1;1;2;13;4
1;1980;1;0;1;0;0;4;1
1;1980;1;1;1;0;2;13;3
1;1980;1;1;1;0;2;13;3
1;1980;1;1;1;0;2;13;3
1;1980;1;1;1;2;0;16;3
1;1980;1;1;1;2;1;16;4
1;1980;1;1;1;2;1;16;4
1;1980;1;0;0;2;0;6;2
1;1980;1;0;0;2;0;6;2
1;1980;1;1;0;1;0;8;1
1;1980;1;1;0;1;0;8;1
1;1980;1;0;1;1;0;8;2
1;1980;1;1;1;2;1;7;4
1;1980;1;1;1;2;1;7;4
1;1980;1;1;1;1;1;12;3
1;1980;1;1;1;1;1;12;3
1;1980;1;1;1;0;0;12;1
1;1981;1;1;1;0;2;24;3
1;1981;1;1;1;0;2;24;3
1;1981;1;1;1;0;2;24;3
1;1981;1;1;1;2;0;24;3
1;1981;1;1;1;1;1;24;3
1;1981;1;1;1;1;1;24;3
1;1981;1;1;1;1;0;24;2
1;1981;1;1;1;0;0;4;1
1;1981;1;1;1;1;0;9;2
1;1981;1;1;0;0;1;9;1
1;1981;1;1;0;0;1;9;1
1;1981;1;1;0;0;0;8;0
1;1981;1;1;0;0;1;7;1
1;1981;1;1;0;0;1;7;1
1;1981;1;1;1;1;0;7;2
1;1981;1;1;1;1;2;7;4
1;1981;1;1;1;1;2;7;4
1;1981;1;1;1;1;2;7;4
1;1981;1;0;1;0;0;4;1
1;1981;1;1;0;1;2;8;3
1;1981;1;1;0;1;2;8;3
1;1981;1;1;0;1;2;8;3
1;1981;1;1;1;0;1;9;2
1;1981;1;1;1;0;1;9;2
1;1981;1;1;1;0;0;8;1
1;1981;1;1;0;2;0;5;2
1;1982;1;1;0;3;2;10;5
1;1982;1;1;0;3;2;10;5
1;1982;1;1;0;3;2;10;5
1;1982;1;0;1;0;1;9;2
1;1982;1;1;1;0;0;8;1
1;1982;1;1;1;0;0;6;1
1;1982;1;1;1;1;0;10;2
1;1982;1;1;1;1;0;10;2
1;1982;1;1;0;1;0;6;1
1;1982;1;0;0;1;1;7;2
1;1982;1;1;0;0;1;6;1
1;1982;1;1;0;0;1;6;1
1;1982;1;1;0;0;0;3;0
1;1982;1;0;0;1;0;10;1
1;1982;1;1;1;2;0;9;3
1;1982;1;1;1;2;0;8;3
1;1982;1;1;1;0;1;8;2
1;1982;1;1;1;0;1;8;2
1;1982;1;1;0;1;1;26;2
1;1982;1;1;0;1;1;26;2
1;1982;1;1;0;1;0;4;1
1;1982;1;1;1;1;0;4;2
1;1982;1;1;1;2;0;7;3
1;1982;1;1;1;0;0;6;1
1;1983;1;0;0;0;0;8;0
1;1983;1;0;0;0;0;8;0
1;1983;1;1;0;2;0;8;2
1;1983;1;1;0;0;0;8;0
1;1983;1;1;0;0;0;7;0
1;1983;1;0;1;2;0;8;3
1;1983;1;1;0;0;0;17;0
1;1983;1;1;1;0;1;17;2
1;1983;1;1;1;0;1;17;2
1;1983;1;1;1;0;2;17;3
1;1983;1;1;1;0;2;17;3
1;1983;1;1;1;0;2;17;3
1;1983;1;1;1;0;1;17;2
1;1983;1;1;1;0;1;17;2
1;1983;1;1;0;1;0;17;1
1;1983;1;1;1;1;2;7;4
1;1983;1;1;1;1;2;7;4
1;1983;1;1;1;1;2;7;4
1;1983;1;1;0;2;1;5;3
1;1983;1;1;0;2;1;5;3
1;1983;1;0;0;0;0;8;0
1;1983;1;0;0;0;0;8;0
1;1983;1;0;1;1;0;8;2
1;1983;1;1;1;2;0;14;3
1;1983;1;1;0;2;1;14;3
1;1983;1;1;0;2;1;14;3
1;1983;1;1;1;0;0;9;1
1;1983;1;1;0;0;2;4;2
1;1983;1;1;0;0;2;4;2
1;1983;1;1;0;0;2;4;2
1;1983;1;1;0;0;0;9;0
1;1983;1;1;0;0;0;8;0
1;1983;1;1;1;0;0;7;1
1;1983;1;1;1;0;1;6;2
1;1983;1;1;1;0;1;6;2
1;1984;1;1;1;0;0;4;1
1;1984;1;1;1;1;0;13;2
1;1984;1;1;1;0;2;13;3
1;1984;1;1;1;0;2;13;3
1;1984;1;1;1;0;2;13;3
1;1984;1;1;0;2;0;8;2
1;1984;1;1;1;0;0;8;1
1;1984;1;0;0;0;0;10;0
1;1984;1;1;0;1;0;4;1
1;1984;1;1;0;1;1;7;2
1;1984;1;1;0;1;1;7;2
1;1984;1;1;0;1;1;7;2
1;1984;1;1;0;1;1;7;2
1;1985;1;1;0;1;0;11;1
1;1985;1;1;1;1;0;11;2
1;1985;1;1;1;1;0;18;2
1;1985;1;1;1;0;0;18;1
1;1985;1;1;1;0;1;18;2
1;1985;1;1;1;0;1;18;2
1;1985;1;1;1;0;1;18;2
1;1985;1;1;1;0;1;18;2
1;1985;1;0;0;3;0;8;3
1;1985;1;1;0;0;1;9;1
1;1985;1;1;0;0;1;9;1
1;1985;1;1;0;0;0;9;0
1;1985;1;1;1;0;0;6;1
1;1985;1;1;1;2;0;5;3
1;1985;1;1;1;2;1;7;4
1;1985;1;1;1;2;1;7;4
1;1985;1;1;1;1;1;6;3
1;1985;1;1;1;1;1;6;3
1;1986;1;0;0;1;0;9;1
1;1986;1;1;0;1;0;8;1
1;1986;1;1;0;1;0;11;1
1;1986;1;1;0;0;1;11;1
1;1986;1;1;0;0;1;11;1
1;1986;1;1;1;2;1;11;4
1;1986;1;1;1;2;1;11;4
1;1986;1;1;1;1;0;12;2
1;1986;1;1;0;2;0;12;2
1;1986;1;1;0;2;0;12;2
1;1986;1;1;1;0;0;10;1
1;1986;1;1;1;1;0;10;2
1;1986;1;0;1;0;0;5;1
1;1986;1;1;0;1;1;10;2
1;1986;1;1;0;1;1;10;2
1;1986;1;0;1;2;1;14;4
1;1986;1;1;1;2;0;13;3
1;1986;1;1;1;0;0;8;1
1;1986;1;1;1;0;1;14;2
1;1986;1;1;1;0;1;14;2
1;1986;1;1;0;2;1;14;3
1;1986;1;1;1;1;0;14;2
1;1986;1;0;1;3;0;6;4
1;1987;1;0;1;0;0;7;1
1;1987;1;0;1;0;0;7;1
1;1987;1;1;0;0;0;8;0
1;1987;1;1;1;0;0;8;1
1;1987;1;1;1;2;0;8;3
1;1987;1;1;1;2;0;12;3
1;1987;1;1;1;1;0;12;2
1;1987;1;1;0;2;0;4;2
1;1987;1;1;1;1;0;11;2
1;1987;1;1;0;2;1;10;3
1;1987;1;1;0;2;1;10;3
1;1987;1;1;1;0;1;12;2
1;1987;1;1;1;0;1;12;2
1;1987;1;1;0;2;0;12;2
1;1987;1;1;0;0;0;12;0
1;1987;1;0;0;0;0;11;0
1;1987;1;1;1;2;0;10;3
1;1987;1;1;1;1;0;12;2
1;1987;1;1;0;2;1;12;3
1;1987;1;1;0;2;1;12;3
1;1987;1;1;1;0;2;12;3
1;1987;1;1;1;0;2;12;3
1;1987;1;1;1;0;2;12;3
1;1988;1;1;1;2;0;NA;3
1;1988;1;1;1;0;0;NA;1
1;1988;1;1;1;1;0;NA;2
1;1988;1;1;1;0;1;NA;2
1;1988;1;1;1;0;1;NA;2
1;1988;1;1;1;0;0;NA;1
1;1988;1;1;0;1;0;NA;1
1;1988;1;1;1;0;0;NA;1
1;1988;1;1;1;0;0;NA;1
1;1988;1;1;1;0;1;NA;2
1;1988;1;1;1;0;1;NA;2
1;1988;1;1;0;2;0;NA;2
1;1988;1;1;1;0;1;NA;2
1;1988;1;1;1;0;1;NA;2
1;1975;2;1;0;0;0;4;0
1;1976;2;1;1;2;0;5;3
1;1976;2;1;1;2;0;5;3
1;1976;2;1;1;2;0;5;3
1;1976;2;1;1;1;0;6;2
1;1976;2;1;1;1;0;6;2
1;1976;2;1;1;1;0;13;2
1;1976;2;1;1;1;0;13;2
1;1976;2;1;1;0;0;13;1
1;1976;2;1;1;0;1;13;2
1;1976;2;1;1;2;0;8;3
1;1976;2;1;1;2;0;8;3
1;1976;2;1;1;2;0;8;3
1;1976;2;1;1;2;1;6;4
1;1976;2;1;1;2;1;6;4
1;1976;2;1;1;2;1;6;4
1;1976;2;1;1;0;0;5;1
1;1976;2;1;0;1;1;9;2
1;1976;2;1;0;1;1;9;2
1;1976;2;1;1;2;0;9;3
1;1976;2;1;1;2;0;9;3
1;1976;2;1;1;2;0;9;3
1;1976;2;1;1;0;2;7;3
1;1976;2;1;1;1;0;5;2
1;1976;2;1;1;1;0;5;2
1;1976;2;1;1;0;0;8;1
1;1976;2;1;0;1;0;4;1
1;1976;2;1;0;1;0;4;1
1;1976;2;1;1;1;0;4;2
1;1976;2;1;1;1;0;4;2
1;1977;2;1;1;2;0;6;3
1;1977;2;1;1;2;0;6;3
1;1977;2;1;1;2;0;6;3
1;1977;2;1;1;0;0;6;1
1;1977;2;1;1;1;0;10;2
1;1977;2;1;1;1;0;10;2
1;1977;2;1;1;1;1;15;3
1;1977;2;1;1;1;1;15;3
1;1977;2;1;1;0;0;4;1
1;1977;2;1;0;0;0;4;0
1;1977;2;1;1;0;1;4;2
1;1977;2;1;1;0;1;11;2
1;1977;2;1;1;2;1;11;4
1;1977;2;1;1;2;1;11;4
1;1977;2;1;1;2;1;11;4
1;1977;2;1;1;1;1;15;3
1;1977;2;1;1;1;1;15;3
1;1977;2;1;1;1;1;15;3
1;1977;2;1;1;1;1;15;3
1;1977;2;1;1;0;1;6;2
1;1977;2;1;0;0;1;10;1
1;1977;2;1;1;0;2;10;3
1;1977;2;1;1;0;1;7;2
1;1978;2;1;1;0;1;10;2
1;1978;2;1;1;0;0;8;1
1;1978;2;1;1;0;2;5;3
1;1978;2;1;1;0;1;11;2
1;1978;2;1;1;0;1;11;2
1;1978;2;1;0;0;0;11;0
1;1978;2;1;1;0;1;11;2
1;1978;2;1;1;0;1;5;2
1;1978;2;1;1;1;2;7;4
1;1978;2;1;1;1;2;7;4
1;1978;2;1;1;0;3;6;4
1;1978;2;1;0;0;0;9;0
1;1978;2;1;1;0;0;5;1
1;1979;2;1;1;1;0;16;2
1;1979;2;1;1;1;0;16;2
1;1979;2;1;1;0;0;6;1
1;1979;2;1;1;1;0;4;2
1;1979;2;1;1;1;0;4;2
1;1979;2;0;0;0;0;2;0
1;1979;2;1;1;1;1;8;3
1;1979;2;1;1;1;1;8;3
1;1979;2;1;0;0;1;4;1
1;1979;2;1;1;1;1;7;3
1;1979;2;1;1;1;1;7;3
1;1979;2;1;1;1;0;5;2
1;1979;2;1;1;1;0;5;2
1;1980;2;1;1;0;3;6;4
1;1980;2;1;1;1;1;6;3
1;1980;2;1;1;1;1;6;3
1;1980;2;1;1;1;0;5;2
1;1980;2;1;1;1;0;5;2
1;1980;2;1;1;0;2;9;3
1;1980;2;1;1;0;2;9;3
1;1980;2;1;0;0;0;3;0
1;1980;2;1;1;0;3;13;4
1;1980;2;1;1;0;0;13;1
1;1980;2;1;1;1;1;16;3
1;1980;2;1;1;1;1;16;3
1;1980;2;1;1;1;2;16;4
1;1980;2;1;1;1;2;16;4
1;1980;2;1;1;0;0;16;1
1;1980;2;1;0;1;0;5;1
1;1980;2;1;0;1;0;5;1
1;1980;2;1;0;0;1;8;1
1;1980;2;1;0;0;1;8;1
1;1980;2;1;1;0;0;7;1
1;1980;2;1;1;0;0;7;1
1;1980;2;1;1;1;2;7;4
1;1980;2;1;1;1;2;7;4
1;1980;2;1;1;0;2;12;3
1;1980;2;1;1;1;0;12;2
1;1980;2;1;1;1;0;12;2
1;1980;2;1;1;0;0;12;1
1;1981;2;1;1;1;1;24;3
1;1981;2;1;1;1;1;24;3
1;1981;2;1;1;0;2;24;3
1;1981;2;1;1;0;1;24;2
1;1981;2;1;1;1;0;24;2
1;1981;2;1;1;1;0;24;2
1;1981;2;1;1;1;0;5;2
1;1981;2;1;1;1;0;5;2
1;1981;2;1;1;1;0;4;2
1;1981;2;1;1;1;0;4;2
1;1981;2;1;1;0;1;9;2
1;1981;2;1;1;0;1;7;2
1;1981;2;1;1;0;3;7;4
1;1981;2;1;0;0;3;8;3
1;1981;2;1;0;0;0;9;0
1;1981;2;1;1;0;0;5;1
1;1981;2;1;0;0;0;8;0
1;1981;2;1;1;1;0;8;2
1;1981;2;1;1;1;0;8;2
1;1981;2;1;0;1;1;5;2
1;1981;2;1;0;1;1;5;2
1;1982;2;1;1;1;0;9;2
1;1982;2;1;1;1;0;9;2
1;1982;2;1;0;2;3;10;5
1;1982;2;1;0;2;3;10;5
1;1982;2;1;0;2;3;10;5
1;1982;2;1;1;1;0;10;2
1;1982;2;1;1;1;0;10;2
1;1982;2;1;1;0;0;10;1
1;1982;2;1;1;0;1;10;2
1;1982;2;1;1;0;1;10;2
1;1982;2;1;0;0;1;6;1
1;1982;2;1;1;1;0;6;2
1;1982;2;1;1;1;0;6;2
1;1982;2;1;0;0;0;9;0
1;1982;2;1;1;1;1;9;3
1;1982;2;1;1;1;1;9;3
1;1982;2;1;1;1;1;8;3
1;1982;2;1;1;1;1;8;3
1;1982;2;1;0;0;2;26;2
1;1982;2;1;0;0;1;4;1
1;1982;2;1;1;2;0;9;3
1;1982;2;1;1;2;0;9;3
1;1982;2;1;1;2;0;9;3
1;1982;2;1;1;0;1;4;2
1;1982;2;1;1;1;1;7;3
1;1982;2;1;1;1;1;7;3
1;1983;2;1;1;2;0;7;3
1;1983;2;1;1;2;0;7;3
1;1983;2;1;1;2;0;7;3
1;1983;2;1;0;1;1;8;2
1;1983;2;1;0;1;1;8;2
1;1983;2;1;1;0;0;7;1
1;1983;2;1;1;1;0;8;2
1;1983;2;1;1;1;0;8;2
1;1983;2;1;1;0;0;8;1
1;1983;2;1;0;0;1;17;1
1;1983;2;1;1;0;3;7;4
1;1983;2;1;0;1;2;5;3
1;1983;2;1;0;1;2;5;3
1;1983;2;1;1;0;0;7;1
1;1983;2;1;1;1;1;14;3
1;1983;2;1;1;1;1;14;3
1;1983;2;1;0;1;2;14;3
1;1983;2;1;0;1;2;14;3
1;1983;2;1;0;2;0;14;2
1;1983;2;1;0;2;0;14;2
1;1983;2;1;0;2;0;14;2
1;1984;2;1;1;1;0;13;2
1;1984;2;1;1;1;0;13;2
1;1984;2;1;1;0;1;13;2
1;1984;2;1;0;1;1;8;2
1;1984;2;1;0;1;1;8;2
1;1984;2;1;0;0;1;4;1
1;1984;2;1;1;1;0;11;2
1;1984;2;1;1;1;0;11;2
1;1984;2;1;1;0;1;6;2
1;1984;2;1;0;0;2;7;2
1;1984;2;1;0;0;2;7;2
1;1984;2;1;1;1;0;7;2
1;1984;2;1;1;1;0;7;2
1;1984;2;1;1;0;0;8;1
1;1984;2;1;1;1;0;8;2
1;1984;2;1;1;1;0;8;2
1;1984;2;1;1;0;0;8;1
1;1985;2;1;1;0;0;7;1
1;1985;2;1;1;0;0;11;1
1;1985;2;1;0;0;1;11;1
1;1985;2;1;1;0;1;11;2
1;1985;2;1;1;1;0;18;2
1;1985;2;1;1;0;1;18;2
1;1985;2;0;1;0;2;18;3
1;1985;2;1;1;0;0;8;1
1;1985;2;1;1;2;0;8;3
1;1985;2;1;1;2;0;8;3
1;1985;2;1;1;2;0;8;3
1;1985;2;1;0;2;0;8;2
1;1985;2;1;0;2;0;8;2
1;1985;2;1;0;2;0;8;2
1;1985;2;1;0;3;0;8;3
1;1985;2;1;0;3;0;8;3
1;1985;2;1;0;3;0;8;3
1;1985;2;1;0;3;0;8;3
1;1985;2;1;1;0;0;6;1
1;1985;2;0;1;0;0;7;1
1;1985;2;1;1;1;1;5;3
1;1985;2;1;1;1;1;5;3
1;1985;2;1;1;1;2;7;4
1;1985;2;1;1;1;2;7;4
1;1985;2;1;1;0;2;6;3
1;1986;2;1;0;0;0;8;0
1;1986;2;1;0;2;0;8;2
1;1986;2;1;0;2;0;8;2
1;1986;2;1;0;2;0;8;2
1;1986;2;1;0;0;1;8;1
1;1986;2;1;0;0;1;11;1
1;1986;2;1;1;1;2;11;4
1;1986;2;1;1;1;2;11;4
1;1986;2;1;1;0;1;12;2
1;1986;2;1;0;1;1;12;2
1;1986;2;1;0;1;1;12;2
1;1986;2;1;0;1;1;12;2
1;1986;2;1;0;1;1;12;2
1;1986;2;1;1;0;0;12;1
1;1986;2;1;1;0;1;10;2
1;1986;2;0;0;0;0;3;0
1;1986;2;1;0;0;2;10;2
1;1986;2;1;1;2;0;10;3
1;1986;2;1;1;2;0;10;3
1;1986;2;1;1;2;0;10;3
1;1986;2;1;0;1;0;13;1
1;1986;2;1;0;1;0;13;1
1;1986;2;1;1;1;1;13;3
1;1986;2;1;1;1;1;13;3
1;1986;2;1;1;1;0;13;2
1;1986;2;1;1;1;0;13;2
1;1986;2;1;0;1;0;8;1
1;1986;2;1;0;1;0;8;1
1;1986;2;1;0;0;0;8;0
1;1986;2;1;0;1;2;14;3
1;1986;2;1;0;1;2;14;3
1;1986;2;1;1;0;1;14;2
1;1986;2;1;1;2;0;5;3
1;1986;2;1;1;2;0;5;3
1;1986;2;1;1;2;0;5;3
1;1987;2;1;0;0;0;6;0
1;1987;2;1;1;1;1;8;3
1;1987;2;1;1;1;1;8;3
1;1987;2;0;0;0;0;12;0
1;1987;2;1;1;1;1;12;3
1;1987;2;1;1;1;1;12;3
1;1987;2;1;1;0;1;12;2
1;1987;2;1;0;1;1;11;2
1;1987;2;1;0;1;1;11;2
1;1987;2;1;1;1;0;11;2
1;1987;2;1;1;1;0;11;2
1;1987;2;1;1;0;1;11;2
1;1987;2;1;0;1;2;10;3
1;1987;2;1;0;1;2;10;3
1;1987;2;1;0;1;1;12;2
1;1987;2;1;0;1;1;12;2
1;1987;2;1;1;1;0;10;2
1;1987;2;1;1;1;0;10;2
1;1987;2;1;0;0;0;10;0
1;1987;2;1;0;0;0;4;0
1;1987;2;1;1;1;1;10;3
1;1987;2;1;1;1;1;10;3
1;1987;2;1;1;0;1;12;2
1;1987;2;1;0;1;2;12;3
1;1987;2;1;0;1;2;12;3
1;1988;2;1;1;1;1;NA;3
1;1988;2;1;1;1;1;NA;3
1;1988;2;1;1;0;1;NA;2
1;1988;2;1;1;1;0;NA;2
1;1988;2;1;1;1;0;NA;2
1;1988;2;0;1;0;0;3;1
1;1988;2;0;1;0;0;3;1
1;1988;2;1;0;0;1;NA;1
1;1988;2;1;0;1;1;NA;2
1;1988;2;1;0;1;1;NA;2
2;1989;1;0;1;1;0;NA;2
2;1989;1;1;1;0;1;NA;2
2;1989;1;1;1;0;1;NA;2
2;1989;1;1;0;0;0;8;0
2;1989;1;1;0;0;0;4;0
2;1989;1;1;0;0;0;2;0
2;1989;1;0;0;0;0;4;0
2;1989;1;1;0;0;1;7;1
2;1989;1;1;0;0;1;7;1
2;1990;1;0;0;1;0;4;1
2;1990;1;0;0;0;0;NA;0
2;1990;1;0;1;0;0;3;1
