"name";"genus";"species";"subspecies";"spp_id";"genus_id";"social_learning";"research_effort";"brain";"body";"group_size";"gestation";"weaning";"longevity";"sex_maturity";"maternal_investment"
"Allenopithecus_nigroviridis";"Allenopithecus";"nigroviridis";NA;1;1;0;6;58.02;4655;40;NA;106.15;276;NA;NA
"Allocebus_trichotis";"Allocebus";"trichotis";NA;2;2;0;6;NA;78.09;1;NA;NA;NA;NA;NA
"Alouatta_belzebul";"Alouatta";"belzebul";NA;3;3;0;15;52.84;6395;7.4;NA;NA;NA;NA;NA
"Alouatta_caraya";"Alouatta";"caraya";NA;4;3;0;45;52.63;5383;8.9;185.92;323.16;243.6;1276.72;509.08
"Alouatta_guariba";"Alouatta";"guariba";NA;5;3;0;37;51.7;5175;7.4;NA;NA;NA;NA;NA
"Alouatta_palliata";"Alouatta";"palliata";NA;6;3;3;79;49.88;6250;13.1;185.42;495.6;300;1578.42;681.02
"Alouatta_pigra";"Alouatta";"pigra";NA;7;3;0;25;51.13;8915;5.5;185.92;NA;240;NA;NA
"Alouatta_sara";"Alouatta";"sara";NA;8;3;0;4;59.08;6611.04;NA;NA;NA;NA;NA;NA
"Alouatta_seniculus";"Alouatta";"seniculus";NA;9;3;0;82;55.22;5950;7.9;189.9;370.04;300;1690.22;559.94
"Aotus_azarai";"Aotus";"azarai";NA;10;4;0;22;20.67;1205;4.1;NA;229.69;NA;NA;NA
"Aotus_azarai_boliviensis";"Aotus";"azarai";"boliviensis";11;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aotus_brumbacki";"Aotus";"brumbacki";NA;12;4;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aotus_infulatus";"Aotus";"infulatus";NA;13;4;0;6;NA;NA;NA;NA;NA;NA;NA;NA
"Aotus_lemurinus";"Aotus";"lemurinus";NA;14;4;0;16;16.3;734;NA;132.23;74.57;216;755.15;206.8
"Aotus_lemurinus_griseimembra";"Aotus";"lemurinus";"griseimembra";15;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Aotus_nancymaae";"Aotus";"nancymaae";NA;16;4;0;5;NA;791.03;4;NA;NA;NA;NA;NA
"Aotus_nigriceps";"Aotus";"nigriceps";NA;17;4;0;1;NA;958;3.3;NA;NA;NA;NA;NA
"Aotus_trivirgatus";"Aotus";"trivirgatus";NA;18;4;0;58;16.85;989;3.15;133.47;76.21;303.6;736.6;209.68
"Aotus_vociferans";"Aotus";"vociferans";NA;19;4;0;12;NA;703;3.3;NA;NA;NA;NA;NA
"Archaeolemur_majori";"Archaeolemur";"majori";NA;20;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Arctocebus_aureus";"Arctocebus";"aureus";NA;21;6;NA;NA;5.88;210;NA;NA;NA;NA;NA;NA
"Arctocebus_calabarensis";"Arctocebus";"calabarensis";NA;22;6;0;1;6.92;309;1;133.74;109.26;156;298.91;243
"Ateles_belzebuth";"Ateles";"belzebuth";NA;23;7;0;12;117.02;8167;14.5;138.2;NA;336;NA;NA
"Ateles_fusciceps";"Ateles";"fusciceps";NA;24;7;0;4;114.24;9025;NA;224.7;482.7;288;1799.68;707.4
"Ateles_geoffroyi";"Ateles";"geoffroyi";NA;25;7;2;58;105.09;7535;42;226.37;816.35;327.6;2104.57;1042.72
"Ateles_paniscus";"Ateles";"paniscus";NA;26;7;0;30;103.85;8280;20;228.18;805.41;453.6;2104.57;1033.59
"Avahi_cleesei";"Avahi";"cleesei";NA;27;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Avahi_laniger";"Avahi";"laniger";NA;28;8;0;10;9.86;1207;2;136.15;149.15;NA;NA;285.3
"Avahi_occidentalis";"Avahi";"occidentalis";NA;29;8;0;6;7.95;801;3;NA;NA;NA;NA;NA
"Avahi_unicolor";"Avahi";"unicolor";NA;30;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Brachyteles_arachnoides";"Brachyteles";"arachnoides";NA;31;9;0;57;NA;10537.31;19.6;221.75;734.82;NA;2876.24;956.57
"Bunopithecus_hoolock";"Bunopithecus";"hoolock";NA;32;10;0;24;110.68;6728;3.2;232.5;635.13;NA;2689.08;867.63
"Cacajao_calvus";"Cacajao";"calvus";NA;33;11;0;11;76;3165;23.7;180;339.29;324;1262.74;519.29
"Cacajao_melanocephalus";"Cacajao";"melanocephalus";NA;34;11;0;8;68.77;2935;30;NA;NA;216;NA;NA
"Callicebus_donacophilus";"Callicebus";"donacophilus";NA;35;12;0;1;NA;897.67;1;NA;NA;NA;NA;NA
"Callicebus_hoffmannsi";"Callicebus";"hoffmannsi";NA;36;12;0;NA;NA;1067.61;1;NA;NA;NA;NA;NA
"Callicebus_moloch";"Callicebus";"moloch";NA;37;12;0;18;NA;958.13;2.95;164;58.85;303.6;1262.74;222.85
"Callicebus_personatus";"Callicebus";"personatus";NA;38;12;0;19;NA;1390.8;2.35;NA;NA;NA;NA;NA
"Callicebus_torquatus";"Callicebus";"torquatus";NA;39;12;0;4;NA;1245;3.85;NA;121.66;NA;1683.65;NA
"Callimico_goeldii";"Callimico";"goeldii";NA;40;13;0;43;11.43;484;6.85;153.99;66.53;214.8;413.84;220.52
"Callithrix_argentata";"Callithrix";"argentata";NA;41;14;0;16;7.95;345;9.5;NA;NA;201.6;701.52;NA
"Callithrix_aurita";"Callithrix";"aurita";NA;42;14;0;NA;NA;429;6;140;NA;NA;NA;NA
"Callithrix_emiliae";"Callithrix";"emiliae";NA;43;14;NA;NA;NA;309.58;NA;NA;NA;NA;NA;NA
"Callithrix_geoffroyi";"Callithrix";"geoffroyi";NA;44;14;0;NA;NA;342;NA;NA;NA;NA;NA;NA
"Callithrix_humeralifera";"Callithrix";"humeralifera";NA;45;14;0;4;NA;370;8.5;NA;99.01;180;NA;NA
"Callithrix_jacchus";"Callithrix";"jacchus";NA;46;14;2;161;7.24;320;8.55;144;60.24;201.6;455.99;204.24
"Callithrix_kuhli";"Callithrix";"kuhli";NA;47;14;0;NA;NA;374.99;NA;NA;NA;NA;NA;NA
"Callithrix_mauesi";"Callithrix";"mauesi";NA;48;14;0;NA;NA;443.79;NA;NA;NA;NA;NA;NA
"Callithrix_penicillata";"Callithrix";"penicillata";NA;49;14;0;NA;7.32;328;5.9;NA;NA;NA;NA;NA
"Callithrix_pygmaea";"Callithrix";"pygmaea";NA;50;14;0;36;4.17;116;6;134.44;90.73;181.2;708.5;225.17
"Cebus_albifrons";"Cebus";"albifrons";NA;51;15;1;13;65.45;2735;25;158.29;270.32;528;1501.69;428.61
"Cebus_apella";"Cebus";"apella";NA;52;15;17;249;66.63;2936;7.9;154.99;263.12;541.2;1760.81;418.11
"Cebus_capucinus";"Cebus";"capucinus";NA;53;15;5;60;72.93;2861;18.15;161.06;514.07;657.6;2134.73;675.13
"Cebus_olivaceus";"Cebus";"olivaceus";NA;54;15;0;18;69.84;2931;11.45;NA;725.86;492;2525.48;NA
"Cebus_xanthosternos";"Cebus";"xanthosternos";NA;55;15;NA;NA;66.09;2440;NA;NA;NA;NA;NA;NA
"Cercocebus_agilis";"Cercocebus";"agilis";NA;56;16;NA;NA;116.43;7580;NA;NA;NA;NA;NA;NA
"Cercocebus_galeritus";"Cercocebus";"galeritus";NA;57;16;0;19;99.07;7435;20.35;174.43;NA;252;2735.94;NA
"Cercocebus_torquatus";"Cercocebus";"torquatus";NA;58;16;1;32;105.99;7485;26.85;168.98;NA;360;1318.86;NA
"Cercocebus_torquatus_atys";"Cercocebus";"torquatus";"atys";59;16;NA;NA;94.68;8600;35;165.08;NA;321.6;1321.67;NA
"Cercopithecus_albogularis";"Cercopithecus";"albogularis";NA;60;17;NA;NA;70.1;5620;32.5;NA;NA;NA;NA;NA
"Cercopithecus_ascanius";"Cercopithecus";"ascanius";NA;61;17;1;26;59.58;3714;26.3;148.5;146.54;339.6;1718.73;295.04
"Cercopithecus_campbelli";"Cercopithecus";"campbelli";NA;62;17;0;11;57.39;3600;11;180.8;362.93;396;NA;543.73
"Cercopithecus_campbelli_lowei";"Cercopithecus";"campbelli";"lowei";63;17;NA;NA;55.64;3187;NA;NA;NA;NA;NA;NA
"Cercopithecus_cephus";"Cercopithecus";"cephus";NA;64;17;0;8;65.26;3585;11;169.51;362.93;276;1521.9;532.44
"Cercopithecus_cephus_cephus";"Cercopithecus";"cephus";"cephus";65;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cercopithecus_cephus_ngottoensis";"Cercopithecus";"cephus";"ngottoensis";66;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cercopithecus_diana";"Cercopithecus";"diana";NA;67;17;1;28;62.61;4550;24.95;NA;362.93;447.6;2279.95;NA
"Cercopithecus_erythrogaster";"Cercopithecus";"erythrogaster";NA;68;17;0;3;NA;3444.88;NA;NA;NA;NA;NA;NA
"Cercopithecus_erythrogaster_erythrogaster";"Cercopithecus";"erythrogaster";"erythrogaster";69;17;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cercopithecus_erythrotis";"Cercopithecus";"erythrotis";NA;70;17;0;3;65.4;3250;NA;NA;NA;NA;NA;NA
"Cercopithecus_hamlyni";"Cercopithecus";"hamlyni";NA;71;17;0;4;65.9;4425;NA;NA;NA;NA;NA;NA
"Cercopithecus_lhoesti";"Cercopithecus";"lhoesti";NA;72;17;0;7;74.2;4710;17.4;NA;NA;192;NA;NA
"Cercopithecus_mitis";"Cercopithecus";"mitis";NA;73;17;0;56;71.33;6109;16;138.39;688.08;325.2;2049.25;826.47
"Cercopithecus_mona";"Cercopithecus";"mona";NA;74;17;0;8;61.84;3719;NA;NA;NA;360;NA;NA
"Cercopithecus_neglectus";"Cercopithecus";"neglectus";NA;75;17;0;17;65.97;5450;4.5;172.07;417.62;315.6;2076.39;589.69
"Cercopithecus_nictitans";"Cercopithecus";"nictitans";NA;76;17;0;7;71.13;5465;16;169.51;NA;276;1684.59;NA
"Cercopithecus_petaurista";"Cercopithecus";"petaurista";NA;77;17;0;5;55.08;3609;14;NA;NA;228;NA;NA
"Cercopithecus_pogonias";"Cercopithecus";"pogonias";NA;78;17;0;8;59.56;3580;15;169.51;NA;289.2;1684.59;NA
"Cercopithecus_preussi";"Cercopithecus";"preussi";NA;79;17;0;2;NA;5132.57;3;NA;NA;NA;NA;NA
"Cercopithecus_solatus";"Cercopithecus";"solatus";NA;80;17;0;6;NA;5256.91;10;NA;NA;NA;NA;NA
"Cercopithecus_wolfi";"Cercopithecus";"wolfi";NA;81;17;0;7;61.45;3390;NA;NA;NA;NA;NA;NA
"Cheirogaleus_crossleyi";"Cheirogaleus";"crossleyi";NA;82;18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Cheirogaleus_major";"Cheirogaleus";"major";NA;83;18;0;3;5.81;400;1;70;47.14;180;420.91;117.14
"Cheirogaleus_medius";"Cheirogaleus";"medius";NA;84;18;0;13;2.6;140;1;61.79;60.65;231.6;413.84;122.44
"Chiropotes_satanas";"Chiropotes";"satanas";NA;85;19;0;21;48.33;3030;14.4;157.67;NA;216;NA;NA
"Chlorocebus_aethiops";"Chlorocebus";"aethiops";NA;86;20;5;91;65;3720;NA;NA;217.76;379.2;NA;NA
"Chlorocebus_pygerythrus";"Chlorocebus";"pygerythrus";NA;87;20;NA;NA;62.58;4324;NA;NA;NA;NA;NA;NA
"Chlorocebus_pygerythrus_cynosurus";"Chlorocebus";"pygerythrus";"cynosurus";88;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Chlorocebus_sabaeus";"Chlorocebus";"sabaeus";NA;89;20;NA;NA;64.91;4312;NA;NA;NA;NA;NA;NA
"Chlorocebus_tantalus";"Chlorocebus";"tantalus";NA;90;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Colobus_angolensis";"Colobus";"angolensis";NA;91;21;0;16;77.7;8625;10.9;NA;NA;NA;NA;NA
"Colobus_angolensis_palliatus";"Colobus";"angolensis";"palliatus";92;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Colobus_guereza";"Colobus";"guereza";NA;93;21;0;42;74.39;8589;7.6;169.02;387.79;294;1929.19;556.81
"Colobus_polykomos";"Colobus";"polykomos";NA;94;21;0;17;73.83;9100;10.2;172.69;213.78;366;1629.84;386.47
"Colobus_satanas";"Colobus";"satanas";NA;95;21;0;10;74.9;8910;15.5;192.76;NA;NA;NA;NA
"Colobus_vellerosus";"Colobus";"vellerosus";NA;96;21;NA;NA;73.07;7820;16;NA;NA;NA;NA;NA
"Daubentonia_madagascariensis";"Daubentonia";"madagascariensis";NA;97;22;0;52;44.85;2555;1;166.48;197.7;291.6;834.72;364.18
"Erythrocebus_patas";"Erythrocebus";"patas";NA;98;23;2;33;97.73;9450;28;167.2;211.79;286.8;1246.07;378.99
"Eulemur_coronatus";"Eulemur";"coronatus";NA;99;24;0;11;20.65;1180;6.95;124.04;NA;220.8;701.52;NA
"Eulemur_fulvus_albifrons";"Eulemur";"fulvus";"albifrons";100;24;NA;NA;21.45;2336;NA;NA;NA;NA;NA;NA
"Eulemur_fulvus_albocollaris";"Eulemur";"fulvus";"albocollaris";101;24;NA;NA;22.1;2140;NA;NA;NA;NA;NA;NA
"Eulemur_fulvus_collaris";"Eulemur";"fulvus";"collaris";102;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Eulemur_fulvus_fulvus";"Eulemur";"fulvus";"fulvus";103;24;1;81;25.77;2292;9.15;120.83;134.64;444;791.75;255.47
"Eulemur_fulvus_mayottensis";"Eulemur";"fulvus";"mayottensis";104;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Eulemur_fulvus_rufus";"Eulemur";"fulvus";"rufus";105;24;NA;NA;25.4;2220;9.5;NA;NA;NA;NA;NA
"Eulemur_fulvus_sanfordi";"Eulemur";"fulvus";"sanfordi";106;24;NA;NA;NA;2394.03;7.7;NA;NA;NA;NA;NA
"Eulemur_macaco_flavifrons";"Eulemur";"macaco";"flavifrons";107;24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Eulemur_macaco_macaco";"Eulemur";"macaco";"macaco";108;24;0;32;24.51;2390;9.2;127.49;143.28;360;660.75;270.77
"Eulemur_mongoz";"Eulemur";"mongoz";NA;109;24;0;13;20.17;1212;2.7;129;151.13;360;1060.7;280.13
"Eulemur_rubriventer";"Eulemur";"rubriventer";NA;110;24;0;13;26.23;1960;3.3;126.99;151.22;NA;566.36;278.21
"Euoticus_elegantulus";"Euoticus";"elegantulus";NA;111;25;0;1;5.53;274;1;133.45;NA;180;NA;NA
"Galago_alleni";"Galago";"alleni";NA;112;26;0;2;5.58;252;6;133;NA;144;283.18;NA
"Galago_gallarum";"Galago";"gallarum";NA;113;26;NA;NA;NA;250;NA;NA;NA;NA;NA;NA
"Galago_granti";"Galago";"granti";NA;114;26;0;NA;4.07;NA;NA;NA;NA;NA;NA;NA
"Galago_matschiei";"Galago";"matschiei";NA;115;26;NA;NA;4.62;210;1;NA;NA;NA;NA;NA
"Galago_moholi";"Galago";"moholi";NA;116;26;0;14;3.71;148;1;122.29;90.46;198;420.91;212.75
"Galago_senegalensis";"Galago";"senegalensis";NA;117;26;0;20;3.96;194;3.5;126.98;93.93;204;330.37;220.91
"Galagoides_demidoff";"Galagoides";"demidoff";NA;118;27;0;5;2.65;75;5.5;111;43.47;168;345.24;154.47
"Galagoides_zanzibaricus";"Galagoides";"zanzibaricus";NA;119;27;0;NA;3.51;143;1;120;59.27;NA;322.75;179.27
"Gorilla_beringei";"Gorilla";"beringei";NA;120;28;NA;NA;491.27;130000;NA;NA;NA;NA;NA;NA
"Gorilla_gorilla_gorilla";"Gorilla";"gorilla";"gorilla";121;28;13;517;490.41;120950;6;257;920.35;648;3353.12;1177.35
"Gorilla_gorilla_graueri";"Gorilla";"gorilla";"graueri";122;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Hapalemur_aureus";"Hapalemur";"aureus";NA;123;29;0;5;NA;1562.41;3;142.5;NA;NA;NA;NA
"Hapalemur_griseus";"Hapalemur";"griseus";NA;124;29;0;40;14.09;709;3.1;141.24;136.29;205.2;1003.17;277.53
"Hapalemur_griseus_alaotrensis";"Hapalemur";"griseus";"alaotrensis";125;29;NA;NA;13.8;1240;NA;NA;NA;NA;NA;NA
"Hapalemur_griseus_griseus";"Hapalemur";"griseus";"griseus";126;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Hapalemur_griseus_meridionalis";"Hapalemur";"griseus";"meridionalis";127;29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Hapalemur_griseus_occidentalis";"Hapalemur";"griseus";"occidentalis";128;29;NA;NA;14.2;NA;NA;NA;NA;NA;NA;NA
"Hapalemur_simus";"Hapalemur";"simus";NA;129;29;0;8;27.14;2150;7.5;140;NA;144;NA;NA
"Homo_sapiens";"Homo";"sapiens";NA;130;30;NA;NA;NA;58540.63;NA;274.78;725.86;1470;5582.93;1000.64
"Homo_sapiens_neanderthalensis";"Homo";"sapiens";"neanderthalensis";131;30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Hylobates_agilis";"Hylobates";"agilis";NA;132;31;0;16;91.16;5850;4.2;NA;NA;528;NA;NA
"Hylobates_klossii";"Hylobates";"klossii";NA;133;31;0;4;87.99;5795;3;207.59;NA;NA;NA;NA
"Hylobates_lar";"Hylobates";"lar";NA;134;31;0;86;101.87;5595;3.2;212.91;725.86;480;3852.57;938.77
"Hylobates_moloch";"Hylobates";"moloch";NA;135;31;0;16;NA;5860.81;2.15;241.2;NA;NA;NA;NA
"Hylobates_muelleri";"Hylobates";"muelleri";NA;136;31;0;5;85.13;5821;3.2;206.7;NA;NA;NA;NA
"Hylobates_pileatus";"Hylobates";"pileatus";NA;137;31;0;16;84.69;5470;3.25;200.16;635.13;432;2454.24;835.29
"Indri_indri";"Indri";"indri";NA;138;32;0;8;34.81;6335;3.1;136.5;331.34;NA;1605.69;467.84
"Lagothrix_lagotricha";"Lagothrix";"lagotricha";NA;139;33;0;34;96.5;7150;33;223.99;312.66;360;1729.33;536.65
"Lemur_catta";"Lemur";"catta";NA;140;34;4;103;22.9;2210;16.45;134.74;126.51;360;831.62;261.25
"Leontopithecus_chrysomelas";"Leontopithecus";"chrysomelas";NA;141;35;0;46;11.84;655;6.7;NA;NA;NA;NA;NA
"Leontopithecus_chrysopygus";"Leontopithecus";"chrysopygus";NA;142;35;0;38;NA;656.12;3.6;NA;NA;NA;NA;NA
"Leontopithecus_rosalia";"Leontopithecus";"rosalia";NA;143;35;0;85;12.83;609;4.5;134;75.69;297.6;890.34;209.69
"Lepilemur_aeeclis";"Lepilemur";"aeeclis";NA;144;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lepilemur_ankaranensis";"Lepilemur";"ankaranensis";NA;145;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lepilemur_dorsalis";"Lepilemur";"dorsalis";NA;146;36;0;1;6.7;870;1;NA;NA;NA;NA;NA
"Lepilemur_edwardsi";"Lepilemur";"edwardsi";NA;147;36;0;5;7.25;931;1;NA;NA;NA;NA;NA
"Lepilemur_hubbardorum";"Lepilemur";"hubbardorum";NA;148;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
