"name";"genus";"species";"subspecies";"spp_id";"genus_id";"social_learning";"research_effort";"brain";"body";"group_size";"gestation";"weaning";"longevity";"sex_maturity";"maternal_investment"
"Lepilemur_leucopus";"Lepilemur";"leucopus";NA;149;36;0;2;6.87;606;1;135.92;121.66;103;620.76;257.58
"Lepilemur_manasamody";"Lepilemur";"manasamody";NA;150;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lepilemur_microdon";"Lepilemur";"microdon";NA;151;36;0;1;9.75;970;1;NA;NA;NA;NA;NA
"Lepilemur_mitsinjoensis";"Lepilemur";"mitsinjoensis";NA;152;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lepilemur_mustelinus";"Lepilemur";"mustelinus";NA;153;36;0;5;9.56;777;1;133.45;76.21;144;663.81;209.66
"Lepilemur_otto";"Lepilemur";"otto";NA;154;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lepilemur_randrianasoli";"Lepilemur";"randrianasoli";NA;155;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lepilemur_ruficaudatus";"Lepilemur";"ruficaudatus";NA;156;36;0;2;8.25;805;1;135.92;119.32;NA;NA;255.24
"Lepilemur_sahamalazensis";"Lepilemur";"sahamalazensis";NA;157;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lepilemur_seali";"Lepilemur";"seali";NA;158;36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Lepilemur_septentrionalis";"Lepilemur";"septentrionalis";NA;159;36;0;NA;NA;755.77;1;134.99;120.97;NA;377.57;255.96
"Lophocebus_albigena";"Lophocebus";"albigena";NA;160;37;0;34;93.97;6950;16;182.64;211.71;392.4;2525.48;394.35
"Lophocebus_aterrimus";"Lophocebus";"aterrimus";NA;161;37;0;6;101.59;6800;17.5;NA;NA;321.6;NA;NA
"Loris_lydekkerianus";"Loris";"lydekkerianus";NA;162;38;NA;NA;6.34;267;NA;NA;NA;NA;NA;NA
"Loris_tardigradus";"Loris";"tardigradus";NA;163;38;0;14;5.87;193;1;165.99;167.49;196.8;350.76;333.48
"Macaca_arctoides";"Macaca";"arctoides";NA;164;39;1;48;100.7;10300;NA;176.6;377.66;360;1570.01;554.26
"Macaca_assamensis";"Macaca";"assamensis";NA;165;39;0;17;90.46;9100;21;NA;NA;NA;NA;NA
"Macaca_brunnescens";"Macaca";"brunnescens";NA;166;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Macaca_cyclopis";"Macaca";"cyclopis";NA;167;39;0;12;82;5470;20.2;161.06;205.24;NA;1650.01;366.3
"Macaca_fascicularis";"Macaca";"fascicularis";NA;168;39;7;174;63.98;4251;27;164.69;283.53;456;1319.5;448.22
"Macaca_fuscata";"Macaca";"fuscata";NA;169;39;45;253;102.92;9515;40.65;172.99;265.04;396;1460.77;438.03
"Macaca_hecki";"Macaca";"hecki";NA;170;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Macaca_leonina";"Macaca";"leonina";NA;171;39;NA;NA;85.6;5642;NA;NA;NA;NA;NA;NA
"Macaca_maura";"Macaca";"maura";NA;172;39;0;22;NA;7290.3;NA;167.19;497.16;NA;NA;664.35
"Macaca_mulatta";"Macaca";"mulatta";NA;173;39;15;296;88.98;6793;38.5;166.07;304.16;432;1101.07;470.23
"Macaca_munzala";"Macaca";"munzala";NA;174;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Macaca_nemestrina";"Macaca";"nemestrina";NA;175;39;3;51;105.59;8821;22.6;171;292.6;411.6;1427.17;463.6
"Macaca_nemestrina_leonina";"Macaca";"nemestrina";"leonina";176;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Macaca_nemestrina_siberu";"Macaca";"nemestrina";"siberu";177;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Macaca_nigra";"Macaca";"nigra";NA;178;39;0;27;94.9;7680;35;172.43;365;216;1984.51;537.43
"Macaca_nigrescens";"Macaca";"nigrescens";NA;179;39;NA;NA;NA;NA;14.5;NA;NA;NA;NA;NA
"Macaca_ochreata";"Macaca";"ochreata";NA;180;39;0;3;NA;3400;NA;NA;NA;NA;NA;NA
"Macaca_pagensis";"Macaca";"pagensis";NA;181;39;NA;NA;NA;4534.66;NA;NA;272.2;360;1227.12;NA
"Macaca_radiata";"Macaca";"radiata";NA;182;39;0;34;74.87;5084;33.5;161.56;332.25;360;1785.78;493.81
"Macaca_silenus";"Macaca";"silenus";NA;183;39;1;48;85;7500;21;172;362.93;480;1912.19;534.93
"Macaca_sinica";"Macaca";"sinica";NA;184;39;0;12;69.7;4440;20.1;180.9;NA;420;1894.11;NA
"Macaca_sylvanus";"Macaca";"sylvanus";NA;185;39;0;67;93.2;12078;18.3;164.84;210.25;264;1542.25;375.09
"Macaca_thibetana";"Macaca";"thibetana";NA;186;39;1;42;NA;10593.06;21;169.02;451.79;NA;NA;620.81
"Macaca_tonkeana";"Macaca";"tonkeana";NA;187;39;2;26;NA;10035.53;NA;NA;NA;NA;NA;NA
"Mandrillus_leucophaeus";"Mandrillus";"leucophaeus";NA;188;40;0;18;148;15000;17;179.22;486.66;400.8;1745.96;665.88
"Mandrillus_sphinx";"Mandrillus";"sphinx";NA;189;40;3;30;153.88;23600;13.9;173.99;348.01;555.96;2122.11;522
"Microcebus_berthae";"Microcebus";"berthae";NA;190;41;NA;NA;NA;33.45;NA;NA;NA;NA;NA;NA
"Microcebus_bongolavensis";"Microcebus";"bongolavensis";NA;191;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Microcebus_danfossi";"Microcebus";"danfossi";NA;192;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Microcebus_griseorufus";"Microcebus";"griseorufus";NA;193;41;NA;NA;NA;70.24;NA;NA;NA;NA;NA;NA
"Microcebus_jollyae";"Microcebus";"jollyae";NA;194;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Microcebus_lehilahytsara";"Microcebus";"lehilahytsara";NA;195;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Microcebus_lokobensis";"Microcebus";"lokobensis";NA;196;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Microcebus_macarthurii";"Microcebus";"macarthurii";NA;197;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Microcebus_mamiratra";"Microcebus";"mamiratra";NA;198;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Microcebus_mittermeieri";"Microcebus";"mittermeieri";NA;199;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Microcebus_murinus";"Microcebus";"murinus";NA;200;41;0;66;1.63;65;1;60.34;40.45;186;355.53;100.79
"Microcebus_myoxinus";"Microcebus";"myoxinus";NA;201;41;0;NA;NA;31.23;1;59.99;NA;NA;NA;NA
"Microcebus_ravelobensis";"Microcebus";"ravelobensis";NA;202;41;0;NA;NA;58.6;NA;NA;NA;NA;NA;NA
"Microcebus_rufus";"Microcebus";"rufus";NA;203;41;0;8;1.72;43;1;59.99;40;144;NA;99.99
"Microcebus_sambiranensis";"Microcebus";"sambiranensis";NA;204;41;NA;NA;NA;49.06;NA;NA;NA;NA;NA;NA
"Microcebus_simmonsi";"Microcebus";"simmonsi";NA;205;41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Microcebus_tavaratra";"Microcebus";"tavaratra";NA;206;41;NA;NA;NA;68.01;NA;NA;NA;NA;NA;NA
"Miopithecus_talapoin";"Miopithecus";"talapoin";NA;207;42;0;4;NA;1248.86;91.2;164.38;178.98;370.8;1733.36;343.36
"Mirza_coquereli";"Mirza";"coquereli";NA;208;43;0;3;5.8;312;1;88.58;136;183.6;343.74;224.58
"Mirza_zaza";"Mirza";"zaza";NA;209;43;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nasalis_larvatus";"Nasalis";"larvatus";NA;210;44;0;17;92.3;14561;11.25;165.04;211.75;252;1894.11;376.79
"Nomascus_concolor";"Nomascus";"concolor";NA;211;45;0;21;NA;6410.47;4;205.81;635.13;529.2;2454.24;840.94
"Nomascus_gabriellae";"Nomascus";"gabriellae";NA;212;45;0;4;119.38;7365;1;NA;NA;NA;NA;NA
"Nomascus_leucogenys";"Nomascus";"leucogenys";NA;213;45;0;8;NA;7320;1;NA;NA;NA;NA;NA
"Nomascus_nasutus";"Nomascus";"nasutus";NA;214;45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nomascus_siki";"Nomascus";"siki";NA;215;45;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nycticebus_bengalensis";"Nycticebus";"bengalensis";NA;216;46;NA;NA;13.49;1060;NA;NA;NA;NA;NA;NA
"Nycticebus_coucang";"Nycticebus";"coucang";NA;217;46;0;37;10.13;653;1;191.09;181.21;318;660.82;372.3
"Nycticebus_javanicus";"Nycticebus";"javanicus";NA;218;46;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Nycticebus_menagensis";"Nycticebus";"menagensis";NA;219;46;NA;NA;9.67;634;NA;NA;NA;NA;NA;NA
"Nycticebus_pygmaeus";"Nycticebus";"pygmaeus";NA;220;46;0;19;7.23;307;1;185.42;NA;NA;NA;NA
"Otolemur_crassicaudatus";"Otolemur";"crassicaudatus";NA;221;47;1;36;11.78;1150;3.5;131.04;124.62;225.6;609.86;255.66
"Otolemur_garnettii";"Otolemur";"garnettii";NA;222;47;1;12;11.5;764;1;132.24;139.2;204;592.15;271.44
"Pan_paniscus";"Pan";"paniscus";NA;223;48;5;225;341.29;39100;85;235.24;1081.31;576;5465.72;1316.55
"Pan_troglodytes_schweinfurthii";"Pan";"troglodytes";"schweinfurthii";224;48;NA;NA;390.33;38200;NA;NA;NA;NA;NA;NA
"Pan_troglodytes_troglodytes";"Pan";"troglodytes";"troglodytes";225;48;214;755;363.05;52750;50;231.49;1260.81;720;3897.96;1492.3
"Pan_troglodytes_vellerosus";"Pan";"troglodytes";"vellerosus";226;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Pan_troglodytes_verus";"Pan";"troglodytes";"verus";227;48;NA;NA;371.74;43950;NA;NA;NA;NA;NA;NA
"Papio_anubis";"Papio";"anubis";NA;228;49;4;43;167.42;18150;40;178.96;596.6;302.4;NA;775.56
"Papio_cynocephalus";"Papio";"cynocephalus";NA;229;49;2;114;163.19;17150;48.2;172.99;450.42;540;2560.56;623.41
"Papio_hamadryas";"Papio";"hamadryas";NA;230;49;1;78;146.17;14150;36.9;180;363.96;450;1652.37;543.96
"Papio_papio";"Papio";"papio";NA;231;49;3;8;142.5;18026.05;NA;184.42;NA;480;NA;NA
"Papio_ursinus";"Papio";"ursinus";NA;232;49;5;22;178;22300;47;185.92;877.09;540;1543.35;1063.01
"Perodicticus_potto";"Perodicticus";"potto";NA;233;50;0;10;12.42;835;1;193;149.15;312;561.58;342.15
"Phaner_furcifer";"Phaner";"furcifer";NA;234;51;0;1;NA;409.87;1;174.46;NA;144;NA;NA
"Phaner_furcifer_pallescens";"Phaner";"furcifer";"pallescens";235;51;NA;NA;6.68;339;NA;NA;NA;NA;NA;NA
"Piliocolobus_badius";"Piliocolobus";"badius";NA;236;52;0;52;63.59;8285;34;151.41;783.93;NA;1473.2;935.34
"Piliocolobus_foai";"Piliocolobus";"foai";NA;237;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Piliocolobus_gordonorum";"Piliocolobus";"gordonorum";NA;238;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Piliocolobus_kirkii";"Piliocolobus";"kirkii";NA;239;52;1;7;57.25;5630;33.6;165;NA;NA;NA;NA
"Piliocolobus_pennantii";"Piliocolobus";"pennantii";NA;240;52;0;NA;NA;10896;NA;NA;NA;NA;NA;NA
"Piliocolobus_preussi";"Piliocolobus";"preussi";NA;241;52;0;NA;NA;8865.71;40;195;NA;NA;NA;NA
"Piliocolobus_rufomitratus";"Piliocolobus";"rufomitratus";NA;242;52;NA;NA;NA;8030.75;24.5;195;NA;NA;NA;NA
"Piliocolobus_tephrosceles";"Piliocolobus";"tephrosceles";NA;243;52;NA;NA;70.95;8409;34;NA;NA;NA;NA;NA
"Piliocolobus_tholloni";"Piliocolobus";"tholloni";NA;244;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Pithecia_irrorata";"Pithecia";"irrorata";NA;245;53;0;7;NA;2308.17;4.4;NA;NA;NA;NA;NA
"Pithecia_pithecia";"Pithecia";"pithecia";NA;246;53;0;28;32.26;1760;2.7;161.13;113.15;248.4;1089.37;274.28
"Pongo_abelii";"Pongo";"abelii";NA;247;54;NA;NA;389.5;62815;NA;NA;NA;NA;NA;NA
"Pongo_pygmaeus";"Pongo";"pygmaeus";NA;248;54;86;321;377.38;58542;1;259.42;1088.8;720;3318.62;1348.22
"Presbytis_comata";"Presbytis";"comata";NA;249;55;0;11;80.3;6695;7.05;NA;NA;NA;NA;NA
"Presbytis_melalophos";"Presbytis";"melalophos";NA;250;55;0;6;64.85;6560;14;NA;NA;192;NA;NA
"Procolobus_verus";"Procolobus";"verus";NA;251;56;0;3;52.6;4450;6.3;167.84;NA;NA;NA;NA
"Propithecus_coquereli";"Propithecus";"coquereli";NA;252;57;NA;NA;30.19;3729;5.5;140.99;180.96;NA;NA;321.95
"Propithecus_deckenii";"Propithecus";"deckenii";NA;253;57;NA;NA;30.15;3532;NA;NA;NA;NA;NA;NA
"Propithecus_diadema";"Propithecus";"diadema";NA;254;57;0;28;39.8;6130;4.95;152.08;256.27;NA;1683.65;408.35
"Propithecus_edwardsi";"Propithecus";"edwardsi";NA;255;57;NA;NA;39.49;5682;6;NA;NA;NA;NA;NA
"Propithecus_tattersalli";"Propithecus";"tattersalli";NA;256;57;0;9;NA;3531.39;4.1;NA;152.13;NA;NA;NA
"Propithecus_verreauxi";"Propithecus";"verreauxi";NA;257;57;1;41;26.21;2955;6.3;149.77;177.83;247.2;943.94;327.6
"Pygathrix_cinerea";"Pygathrix";"cinerea";NA;258;58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Pygathrix_nemaeus";"Pygathrix";"nemaeus";NA;259;58;0;25;91.41;9720;9.3;182.88;NA;300;NA;NA
"Rhinopithecus_avunculus";"Rhinopithecus";"avunculus";NA;260;59;0;11;NA;9086.19;30;200;NA;NA;NA;NA
"Rhinopithecus_bieti";"Rhinopithecus";"bieti";NA;261;59;0;NA;NA;11000.54;50;170;NA;NA;755.15;NA
"Rhinopithecus_brelichi";"Rhinopithecus";"brelichi";NA;262;59;0;16;NA;12267.15;NA;200;NA;NA;NA;NA
"Rhinopithecus_roxellana";"Rhinopithecus";"roxellana";NA;263;59;0;36;117.76;14750;65;199.34;NA;NA;NA;NA
"Rungwecebus_kipunji";"Rungwecebus";"kipunji";NA;264;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Saguinus_bicolor";"Saguinus";"bicolor";NA;265;61;0;9;NA;465;6.7;158.16;NA;NA;NA;NA
"Saguinus_fuscicollis";"Saguinus";"fuscicollis";NA;266;61;2;81;7.94;401;6;148;90.1;294;406.61;238.1
"Saguinus_fuscicollis_melanoleucus";"Saguinus";"fuscicollis";"melanoleucus";267;61;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Saguinus_geoffroyi";"Saguinus";"geoffroyi";NA;268;61;0;NA;10.14;517;6.9;NA;NA;NA;NA;NA
"Saguinus_imperator";"Saguinus";"imperator";NA;269;61;0;16;NA;407.91;5;NA;NA;242.4;NA;NA
"Saguinus_leucopus";"Saguinus";"leucopus";NA;270;61;0;3;9.7;525;7.5;142.5;NA;NA;NA;NA
"Saguinus_midas";"Saguinus";"midas";NA;271;61;0;17;9.78;563;5.55;138.24;69.6;184.8;841.82;207.84
"Saguinus_mystax";"Saguinus";"mystax";NA;272;61;0;46;11.09;584;5.4;148.28;NA;NA;556.85;NA
"Saguinus_niger";"Saguinus";"niger";NA;273;61;NA;NA;9.48;375;NA;NA;NA;NA;NA;NA
"Saguinus_oedipus";"Saguinus";"oedipus";NA;274;61;0;153;9.76;431;7.05;166.49;49.85;277.2;680.38;216.34
"Saguinus_tripartitus";"Saguinus";"tripartitus";NA;275;61;0;5;NA;385.05;NA;NA;NA;NA;NA;NA
"Saimiri_boliviensis";"Saimiri";"boliviensis";NA;276;62;0;36;NA;799.45;60;157.79;NA;NA;NA;NA
"Saimiri_oerstedii";"Saimiri";"oerstedii";NA;277;62;1;4;25.07;789;25.1;161;362.93;NA;NA;523.93
"Saimiri_sciureus";"Saimiri";"sciureus";NA;278;62;1;89;24.14;799;34.85;164.09;177.41;324;1399.88;341.5
"Saimiri_ustus";"Saimiri";"ustus";NA;279;62;0;4;NA;886.47;NA;NA;238.64;NA;NA;NA
"Semnopithecus_entellus";"Semnopithecus";"entellus";NA;280;63;2;98;110.93;14742;19;197.7;402.1;300;1497.64;599.8
"Symphalangus_syndactylus";"Symphalangus";"syndactylus";NA;281;64;0;40;123.5;11295;3.8;230.66;635.38;456;3788.23;866.04
"Tarsius_bancanus";"Tarsius";"bancanus";NA;282;65;0;8;3.16;126;1;125.84;78.55;144;658.68;204.39
"Tarsius_dentatus";"Tarsius";"dentatus";NA;283;65;0;2;3;113;1;NA;NA;NA;NA;NA
"Tarsius_lariang";"Tarsius";"lariang";NA;284;65;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Tarsius_syrichta";"Tarsius";"syrichta";NA;285;65;0;10;3.36;126;1;177.99;82.49;180;NA;260.48
"Theropithecus_gelada";"Theropithecus";"gelada";NA;286;66;0;34;133.33;15350;10;178.64;494.95;336;1894.11;673.59
"Trachypithecus_auratus";"Trachypithecus";"auratus";NA;287;67;0;2;NA;9719.6;11;NA;NA;NA;NA;NA
"Trachypithecus_cristatus";"Trachypithecus";"cristatus";NA;288;67;0;8;57.86;6394;27.4;NA;362.93;373.2;NA;NA
"Trachypithecus_delacouri";"Trachypithecus";"delacouri";NA;289;67;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Trachypithecus_francoisi";"Trachypithecus";"francoisi";NA;290;67;0;45;NA;8139.93;NA;NA;391.76;NA;NA;NA
"Trachypithecus_geei";"Trachypithecus";"geei";NA;291;67;0;7;81.3;10150;11;NA;NA;NA;NA;NA
"Trachypithecus_germaini";"Trachypithecus";"germaini";NA;292;67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Trachypithecus_johnii";"Trachypithecus";"johnii";NA;293;67;1;9;84.6;11600;10;NA;NA;NA;NA;NA
"Trachypithecus_laotum";"Trachypithecus";"laotum";NA;294;67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Trachypithecus_obscurus";"Trachypithecus";"obscurus";NA;295;67;0;6;62.12;7056;10;146.63;362.93;300;NA;509.56
"Trachypithecus_phayrei";"Trachypithecus";"phayrei";NA;296;67;0;16;72.84;7475;12.9;180.61;305.87;NA;NA;486.48
"Trachypithecus_pileatus";"Trachypithecus";"pileatus";NA;297;67;0;5;103.64;11794;8.5;NA;NA;NA;NA;NA
"Trachypithecus_poliocephalus";"Trachypithecus";"poliocephalus";NA;298;67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Trachypithecus_vetulus";"Trachypithecus";"vetulus";NA;299;67;0;2;61.29;6237;8.35;204.72;245.78;276;1113.7;450.5
"Varecia_rubra";"Varecia";"rubra";NA;300;68;NA;NA;31.08;3470;NA;NA;NA;NA;NA;NA
"Varecia_variegata_variegata";"Varecia";"variegata";"variegata";301;68;0;57;32.12;3575;2.8;102.5;90.73;384;701.52;193.23
