fight;episode;fight.in.episode;fighter1.win;fighter1;fighter2;fighter1.lefty;fighter2.lefty
1181;118;1;0;146;175;1;1
1182;118;2;0;133;91;1;0
1183;118;3;1;56;147;1;0
1184;118;4;1;192;104;0;0
1185;118;5;1;79;15;0;0
1186;118;6;1;113;80;0;0
1191;119;1;1;160;110;0;0
1192;119;2;0;75;212;1;0
1193;119;3;1;40;158;0;0
1194;119;4;1;207;201;0;1
1195;119;5;0;173;78;1;1
1203;120;3;0;117;170;0;0
1204;120;4;1;27;49;0;0
1205;120;5;0;240;161;0;0
1206;120;6;0;149;184;0;0
1211;121;1;0;81;19;0;0
1212;121;2;1;154;232;0;0
1213;121;3;1;60;186;1;0
1214;121;4;0;153;102;0;0
1215;121;5;0;23;24;0;0
1216;121;6;1;124;86;0;0
1217;121;7;0;166;53;0;1
1221;122;1;1;65;178;0;1
1222;122;2;0;90;135;1;1
1223;122;3;1;4;187;0;1
1224;122;4;1;58;6;0;0
1225;122;5;0;176;242;0;1
1226;122;6;0;214;131;0;0
1227;122;7;0;134;28;0;0
1228;122;8;0;2;238;0;0
1231;123;1;0;113;83;0;0
1232;123;2;0;231;189;0;0
1233;123;3;1;183;233;0;0
1234;123;4;1;144;85;0;1
1235;123;5;0;155;15;0;0
1236;123;6;1;57;132;0;0
1237;123;7;1;191;142;0;1
1238;123;8;1;71;167;0;0
1241;124;1;1;227;118;0;0
1242;124;2;1;143;114;0;0
1243;124;3;1;111;34;1;0
1244;124;4;1;211;157;1;1
1245;124;5;0;210;220;0;0
1246;124;6;1;148;66;0;0
1247;124;7;0;128;84;0;0
1251;125;1;0;224;42;1;0
1252;125;2;0;175;63;1;1
1253;125;3;1;228;18;0;0
1254;125;4;0;39;22;1;0
1256;125;6;1;53;92;1;0
1257;125;7;0;188;17;0;0
1261;126;1;0;10;163;0;0
1262;126;2;1;100;28;0;0
1263;126;3;0;207;123;0;0
1264;126;4;0;198;77;1;0
1265;126;5;0;237;5;1;1
1266;126;6;0;80;185;0;0
1267;126;7;1;62;183;0;0
1271;127;1;0;26;137;1;0
1272;127;2;1;21;40;1;0
1273;127;3;1;58;83;0;0
1274;127;4;1;161;125;0;0
1276;127;6;1;151;41;0;0
1277;127;7;1;1;103;0;0
1281;128;1;0;173;19;1;0
1282;128;2;1;176;51;0;0
1283;128;3;1;111;130;1;0
1284;128;4;1;235;68;0;0
1285;128;5;1;123;218;0;0
1286;128;6;0;193;74;0;1
1291;129;1;0;148;13;0;1
1292;129;2;0;107;238;0;0
1293;129;3;1;180;244;0;0
1294;129;4;0;192;142;0;1
1295;129;5;1;98;35;0;0
1296;129;6;1;127;150;0;0
1297;129;7;0;102;84;0;0
1301;130;1;0;126;22;0;0
1302;130;2;0;227;199;0;1
1303;130;3;1;234;220;0;0
1304;130;4;1;78;206;1;0
1305;130;5;0;154;191;0;0
1306;130;6;0;190;87;0;1
1311;131;1;1;62;236;0;0
1312;131;2;0;120;54;0;0
1313;131;3;0;56;152;1;0
1314;131;4;1;133;59;1;0
1315;131;5;0;215;129;0;0
1316;131;6;0;243;208;1;0
1321;132;1;0;27;63;0;1
1322;132;2;0;207;232;0;0
1323;132;3;1;58;159;0;0
1324;132;4;1;160;217;0;0
1325;132;5;1;39;239;1;0
1326;132;6;1;61;235;0;0
1327;132;7;1;109;64;0;0
1331;133;1;1;203;170;0;0
1332;133;2;1;46;125;0;0
1333;133;3;1;21;57;1;0
1334;133;4;0;240;237;0;1
1335;133;5;1;194;232;0;0
1336;133;6;1;121;169;1;0
1337;133;7;1;98;179;0;0
1341;134;1;0;141;219;1;0
1342;134;2;1;172;19;0;0
1343;134;3;0;140;73;0;0
1344;134;4;1;71;204;0;0
1345;134;5;0;77;218;0;0
1346;134;6;0;242;5;1;1
1347;134;7;0;55;186;0;0
1348;134;8;1;244;95;0;0
1351;135;1;1;175;224;1;1
1352;135;2;0;200;234;0;0
1353;135;3;1;151;14;0;0
1354;135;4;0;155;128;0;0
1355;135;5;0;191;123;0;0
1356;135;6;0;45;225;0;0
1361;136;1;0;160;113;0;0
1362;136;2;0;139;174;0;0
1363;136;3;1;32;22;1;0
1364;136;4;1;127;133;0;1
1365;136;5;1;79;91;0;0
1366;136;6;0;115;223;0;0
1367;136;7;0;222;168;0;1
1371;137;1;1;94;82;0;0
1372;137;2;0;108;209;0;0
1373;137;3;0;173;206;1;0
1374;137;4;1;37;156;0;1
1375;137;5;1;177;15;1;0
1376;137;6;1;62;58;0;0
1381;138;1;1;226;72;0;0
1382;138;2;0;48;8;1;0
1383;138;3;0;181;227;1;0
1384;138;4;0;38;36;0;0
1385;138;5;1;195;16;0;0
1386;138;6;0;39;152;1;0
1391;139;1;1;221;136;0;0
1392;139;2;1;153;199;0;1
1393;139;3;0;20;235;0;0
1394;139;4;0;47;239;1;0
1395;139;5;1;50;218;0;0
1401;140;1;0;150;33;0;0
1403;140;3;1;201;232;1;0
1404;140;4;0;106;46;0;0
1405;140;5;1;78;172;1;0
1406;140;6;1;123;142;0;1
1407;140;7;1;57;119;0;0
1408;140;8;1;96;135;0;1
1409;140;9;0;197;101;0;0
1411;141;1;1;112;174;1;0
1412;141;2;1;1;238;0;0
1413;141;3;0;122;121;0;1
1414;141;4;1;63;211;1;1
1415;141;5;0;62;175;0;1
1416;141;6;0;23;3;0;0
1417;141;7;0;145;59;0;0
1421;142;1;1;71;226;0;0
1422;142;2;1;25;73;0;0
1423;142;3;0;168;205;1;0
1424;142;4;1;237;7;1;0
1425;142;5;1;127;31;0;0
1426;142;6;0;196;170;1;0
1427;142;7;1;81;70;0;0
1428;142;8;0;208;229;0;0
1431;143;1;1;67;43;0;0
1432;143;2;1;195;209;0;0
1433;143;3;1;128;169;0;0
1434;143;4;0;206;76;0;0
1435;143;5;1;27;177;0;1
1441;144;1;0;113;9;0;1
1442;144;2;1;94;12;0;0
1443;144;3;1;231;242;0;1
1444;144;4;0;240;102;0;0
1445;144;5;1;151;37;0;0
1446;144;6;1;207;191;0;0
1447;144;7;0;79;13;0;1
1448;144;8;1;97;230;0;0
1451;145;1;0;116;148;0;0
1452;145;2;0;150;69;0;0
1453;145;3;1;162;163;0;0
1454;145;4;1;14;19;0;0
1455;145;5;1;203;36;0;0
1456;145;6;0;194;123;0;0
1457;145;7;1;234;30;0;0
1461;146;1;0;138;220;0;0
1462;146;2;0;216;223;1;0
1463;146;3;0;54;206;0;0
1464;146;4;1;49;65;0;0
1465;146;5;0;71;105;0;0
1466;146;6;0;11;24;0;0
1467;146;7;1;129;78;0;1
1468;146;8;1;164;52;0;0
1469;146;9;0;136;88;0;0
1471;147;1;0;241;93;1;0
1472;147;2;0;171;76;0;0
1473;147;3;1;202;89;0;0
1474;147;4;1;29;213;1;0
1475;147;5;1;198;239;1;0
1481;148;1;1;165;98;0;0
1482;148;2;0;44;31;1;0
1483;148;3;0;63;56;1;1
1484;148;4;0;182;47;0;1
1485;148;5;0;77;232;0;0
1486;148;6;1;5;32;1;1
14610;146;10;1;184;99;0;1