Location;Loc;Population;MedianAgeMarriage;Marriage;Marriage SE;Divorce;Divorce SE;WaffleHouses;South;Slaves1860;Population1860;PropSlaves1860
Alabama;AL;4.78;25.3;20.2;1.27;12.7;0.79;128;1;435080;964201;0.45
Alaska;AK;0.71;25.2;26.0;2.93;12.5;2.05;0;0;0;0;0
Arizona;AZ;6.33;25.8;20.3;0.98;10.8;0.74;18;0;0;0;0
Arkansas;AR;2.92;24.3;26.4;1.70;13.5;1.22;41;1;111115;435450;0.26
California;CA;37.25;26.8;19.1;0.39;8.0;0.24;0;0;0;379994;0
Colorado;CO;5.03;25.7;23.5;1.24;11.6;0.94;11;0;0;34277;0
Connecticut;CT;3.57;27.6;17.1;1.06;6.7;0.77;0;0;0;460147;0
Delaware;DE;0.90;26.6;23.1;2.89;8.9;1.39;3;0;1798;112216;0.016
District of Columbia;DC;0.60;29.7;17.7;2.53;6.3;1.89;0;0;0;75080;0
Florida;FL;18.80;26.4;17.0;0.58;8.5;0.32;133;1;61745;140424;0.44
Georgia;GA;9.69;25.9;22.1;0.81;11.5;0.58;381;1;462198;1057286;0.44
Hawaii;HI;1.36;26.9;24.9;2.54;8.3;1.27;0;0;0;0;0
Idaho;ID;1.57;23.2;25.8;1.84;7.7;1.05;0;0;0;0;0
Illinois;IL;12.83;27.0;17.9;0.58;8.0;0.45;2;0;0;1711951;0
Indiana;IN;6.48;25.7;19.8;0.81;11.0;0.63;17;0;0;1350428;0
Iowa;IA;3.05;25.4;21.5;1.46;10.2;0.91;0;0;0;674913;0
Kansas;KS;2.85;25.0;22.1;1.48;10.6;1.09;6;0;2;107206;0.000019
Kentucky;KY;4.34;24.8;22.2;1.11;12.6;0.75;64;1;225483;1155684;0
Louisiana;LA;4.53;25.9;20.6;1.19;11.0;0.89;66;1;331726;708002;0.47
Maine;ME;1.33;26.4;13.5;1.40;13.0;1.48;0;0;0;628279;0
Maryland;MD;5.77;27.3;18.3;1.02;8.8;0.69;11;0;87189;687049;0.13
Massachusetts;MA;6.55;28.5;15.8;0.70;7.8;0.52;0;0;0;1231066;0
Michigan;MI;9.88;26.4;16.5;0.69;9.2;0.53;0;0;0;749113;0
Minnesota;MN;5.30;26.3;15.3;0.77;7.4;0.60;0;0;0;172023;0
Mississippi;MS;2.97;25.8;19.3;1.54;11.1;1.01;72;1;436631;791305;0.55
Missouri;MO;5.99;25.6;18.6;0.81;9.5;0.67;39;1;114931;1182012;0.097
Montana;MT;0.99;25.7;18.5;2.31;9.1;1.71;0;0;0;0;0
Nebraska;NE;1.83;25.4;19.6;1.44;8.8;0.94;0;0;15;28841;0.00052
New Hampshire;NH;1.32;26.8;16.7;1.76;10.1;1.61;0;0;0;326073;0
New Jersey;NJ;8.79;27.7;14.8;0.59;6.1;0.46;0;0;18;672035;0.000027
New Mexico;NM;2.06;25.8;20.4;1.90;10.2;1.11;2;0;0;93516;0
New York;NY;19.38;28.4;16.8;0.47;6.6;0.31;0;0;0;3880735;0
North Carolina;NC;9.54;25.7;20.4;0.98;9.9;0.48;142;1;331059;992622;0.33
North Dakota;ND;0.67;25.3;26.7;2.93;8.0;1.44;0;0;0;0;0
Ohio;OH;11.54;26.3;16.9;0.61;9.5;0.45;64;0;0;2339511;0
Oklahoma;OK;3.75;24.4;23.8;1.29;12.8;1.01;16;0;0;0;0
Oregon;OR;3.83;26.0;18.9;1.10;10.4;0.80;0;0;0;52465;0
Pennsylvania;PA;12.70;27.1;15.5;0.48;7.7;0.43;11;0;0;2906215;0
Rhode Island;RI;1.05;28.2;15.0;2.11;9.4;1.79;0;0;0;174620;0
South Carolina;SC;4.63;26.4;18.1;1.18;8.1;0.70;144;1;402406;703708;0.57
South Dakota;SD;0.81;25.6;20.1;2.64;10.9;2.50;0;0;0;4837;0
Tennessee;TN;6.35;25.2;19.4;0.85;11.4;0.75;103;1;275719;1109801;0.2
Texas;TX;25.15;25.2;21.5;0.61;10.0;0.35;99;1;182566;604215;0.30
Utah;UT;2.76;23.3;29.6;1.77;10.2;0.93;0;0;0;40273;0
Vermont;VT;0.63;26.9;16.4;2.40;9.6;1.87;0;0;0;315098;0
Virginia;VA;8.00;26.4;20.5;0.83;8.9;0.52;40;1;490865;1219630;0.40
Washington;WA;6.72;25.9;21.4;1.00;10.0;0.65;0;0;0;11594;0
West Virginia;WV;1.85;25.0;22.2;1.69;10.9;1.34;4;1;18371;376688;0.049
Wisconsin;WI;5.69;26.3;17.2;0.79;8.3;0.57;0;0;0;775881;0
Wyoming;WY;0.56;24.2;30.7;3.92;10.3;1.9;0;0;0;0;0