"density";"pred";"size";"surv";"propsurv"
10;"no";"big";9;0.9
10;"no";"big";10;1
10;"no";"big";7;0.7
10;"no";"big";10;1
10;"no";"small";9;0.9
10;"no";"small";9;0.9
10;"no";"small";10;1
10;"no";"small";9;0.9
10;"pred";"big";4;0.4
10;"pred";"big";9;0.9
10;"pred";"big";7;0.7
10;"pred";"big";6;0.6
10;"pred";"small";7;0.7
10;"pred";"small";5;0.5
10;"pred";"small";9;0.9
10;"pred";"small";9;0.9
25;"no";"big";24;0.96
25;"no";"big";23;0.92
25;"no";"big";22;0.88
25;"no";"big";25;1
25;"no";"small";23;0.92
25;"no";"small";23;0.92
25;"no";"small";23;0.92
25;"no";"small";21;0.84
25;"pred";"big";6;0.24
25;"pred";"big";13;0.52
25;"pred";"big";4;0.16
25;"pred";"big";9;0.36
25;"pred";"small";13;0.52
25;"pred";"small";20;0.8
25;"pred";"small";8;0.32
25;"pred";"small";10;0.4
35;"no";"big";34;0.971428571428571
35;"no";"big";33;0.942857142857143
35;"no";"big";33;0.942857142857143
35;"no";"big";31;0.885714285714286
35;"no";"small";31;0.885714285714286
35;"no";"small";35;1
35;"no";"small";33;0.942857142857143
35;"no";"small";32;0.914285714285714
35;"pred";"big";4;0.114285714285714
35;"pred";"big";12;0.342857142857143
35;"pred";"big";13;0.371428571428571
35;"pred";"big";14;0.4
35;"pred";"small";22;0.628571428571429
35;"pred";"small";12;0.342857142857143
35;"pred";"small";31;0.885714285714286
35;"pred";"small";17;0.485714285714286