isocode;isonum;country;rugged;rugged_popw;rugged_slope;rugged_lsd;rugged_pc;land_area;lat;lon;soil;desert;tropical;dist_coast;near_coast;gemstones;rgdppc_2000;rgdppc_1950_m;rgdppc_1975_m;rgdppc_2000_m;rgdppc_1950_2000_m;q_rule_law;cont_africa;cont_asia;cont_europe;cont_oceania;cont_north_america;cont_south_america;legor_gbr;legor_fra;legor_soc;legor_deu;legor_sca;colony_esp;colony_gbr;colony_fra;colony_prt;colony_oeu;africa_region_n;africa_region_s;africa_region_w;africa_region_e;africa_region_c;slave_exports;dist_slavemkt_atlantic;dist_slavemkt_indian;dist_slavemkt_saharan;dist_slavemkt_redsea;pop_1400;european_descent
"GHA";288;"Ghana";0.228;0.250;0.601;0.071;0.371;22754;7.963;-1.208;65.738;0.000;100.000;0.283;19.3048;13275;1892.808;1121.794;1246.881;1269.883;1217.556;-0.297;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1.61e+06;4.773;9.300;3.174;4.332;912300;0.000
"GIB";292;"Gibraltar";7.811;5.542;21.453;1.728;100.000;1;36.139;-5.348;0.000;0.000;0.000;0.000;100;0;;;;;;;0;0;1;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"GIN";324;"Guinea";0.740;1.030;1.969;0.213;3.952;24572;10.435;-10.939;17.761;0.000;100.000;0.263;14.9423;4864;1975.794;303.321;512.136;571.719;469.724;-1.320;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;3.50e+05;3.720;10.269;3.245;5.259;455699;0.000
"GLP";312;"Guadeloupe";1.188;0.533;3.230;0.359;21.296;169;16.280;-61.601;76.500;0.000;100.000;0.003;100;0;;;;;;;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;3387;
"GMB";270;"Gambia";0.353;0.384;0.915;0.091;0.000;1000;13.447;-15.388;81.699;0.000;89.355;0.053;77.3706;0;1728.198;607.365;1049.606;894.813;866.362;0.100;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;21730.895;3.889;10.793;3.172;5.638;51104;0.500
"GNB";624;"Guinea-Bissau";0.491;0.534;1.302;0.123;0.098;2812;12.013;-14.987;43.253;0.000;100.000;0.045;87.3195;0;782.477;289.153;925.067;680.606;707.146;-1.650;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1.81e+05;3.796;10.631;3.285;5.633;87833;3.000
"GNQ";226;"Equatorial Guinea";0.559;1.405;1.449;0.177;5.540;2805;1.703;10.335;6.829;0.000;100.000;0.069;69.3531;0;15189.540;539.763;1294.001;7973.103;1623.250;-1.263;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;10.500;5.577;8.556;3.462;3.515;66516;5.750
"GRC";300;"Greece";3.103;1.295;9.166;0.867;52.841;12890;39.043;22.989;48.588;0.000;0.000;0.029;96.2131;0;17391.740;1915.007;7721.514;12110.869;6959.675;0.810;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;1118034;100.000
"GRD";308;"Grenada";2.088;1.538;5.655;0.606;39.913;34;12.157;-61.654;67.646;0.000;100.000;0.001;100;0;7536.395;;;;;0.270;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;1237;
"GRL";304;"Greenland";0.410;0.914;1.548;0.131;4.252;217500;74.728;-41.345;0.000;0.000;0.000;0.867;3.50187;0;;;;;;;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;10000;
"GTM";320;"Guatemala";1.807;1.369;4.893;0.538;30.850;10843;15.697;-90.356;58.058;0.000;78.376;0.099;48.2159;0;3974.407;2084.894;3683.875;4096.941;3228.048;-0.897;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.000;;;;;243109;21.965
"GUF";254;"French Guiana";0.205;0.254;0.546;0.065;0.109;8815;3.930;-53.233;18.394;0.000;100.000;0.125;43.0358;0;;;;;;0.990;0;0;0;0;0;1;;;;;;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"GUM";316;"Guam";0.666;0.293;1.825;0.215;1.498;54;13.440;144.776;22.222;0.000;100.000;0.000;100;0;;;;;;;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"GUY";328;"Guyana";0.273;0.052;0.744;0.089;0.360;19685;4.794;-58.976;19.594;0.000;100.000;0.215;28.642;1023;4072.166;;;;;-0.230;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;;1.300
"HKG";344;"Hong Kong Special Administrative Region of China";2.501;1.558;6.692;0.698;51.197;110;22.381;114.134;96.076;0.000;0.000;0.002;100;0;25795.830;2218.149;6990.537;23328.385;9882.841;1.037;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;42611;0.000
"HND";340;"Honduras";2.150;1.207;5.824;0.631;39.971;11189;14.822;-86.600;55.945;0.000;94.636;0.077;66.5159;0;2506.231;1313.356;1731.909;1911.571;1690.379;-0.837;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.000;;;;;114924;46.000
"HRV";191;"Croatia";1.267;0.678;3.842;0.366;17.588;5592;45.026;16.419;48.395;0.000;0.000;0.113;51.0571;0;9545.475;;;6438.607;;-0.203;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;530014;99.550
"HTI";332;"Haiti";2.362;1.318;6.448;0.697;42.462;2756;18.936;-72.686;42.050;0.000;100.000;0.019;100;0;1798.406;1050.620;1034.517;796.162;1007.399;-1.463;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0.000;;;;;51954;2.500
"HUN";348;"Hungary";0.346;0.289;1.090;0.098;0.921;8962;47.166;19.418;65.095;0.000;0.000;0.467;0;0;13223.630;2479.958;5804.766;7132.268;5178.710;0.800;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;1000000;99.300
"IDN";360;"Indonesia";0.967;0.435;2.587;0.304;13.405;181157;-2.226;117.277;43.306;0.000;99.835;0.062;77.0687;287;3028.274;839.518;1507.126;3258.498;1752.640;-0.653;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0.000;;;;;6987225;0.000
"IND";356;"India";1.013;0.237;2.842;0.295;12.824;297319;22.876;79.627;51.042;4.495;39.447;0.407;18.0434;489;2415.093;619.003;897.336;1885.008;1006.152;0.213;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;77226807;0.000
"IOT";86;"British Indian Ocean Territory";0.018;0.016;0.037;0.006;0.000;8;-6.845;72.187;;0.000;100.000;0.000;100;0;;;;;;;0;1;0;0;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"IRL";372;"Ireland";0.513;0.280;1.676;0.158;2.864;6889;53.181;-8.153;59.095;0.000;0.000;0.035;95.8615;0;30532.310;3452.898;7316.275;21551.340;8281.263;1.643;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;193357;99.885
"IRN";364;"Iran; Islamic Republic of";2.445;0.929;6.962;0.651;33.616;162855;32.560;54.305;21.824;0.543;0.000;0.461;11.4317;0;5826.672;1719.611;5862.488;4662.057;3593.365;-0.600;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;3741657;0.000
"IRQ";368;"Iraq";0.670;0.360;1.919;0.175;5.572;43737;33.051;43.765;7.912;0.010;0.000;0.456;2.58288;0;;1363.606;4315.305;1221.224;2984.537;-1.507;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;1000000;0.000
"ISL";352;"Iceland";1.472;0.557;5.318;0.435;20.729;10025;64.990;-18.594;3.403;9.086;0.000;0.040;93.2095;0;28929.430;;;;;1.753;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.000;;;;;60000;
"ISR";376;"Israel";1.705;1.002;4.808;0.439;23.277;2164;31.353;34.967;27.477;0.709;0.000;0.052;90.3822;0;23857.940;2817.303;10147.871;16925.594;9250.910;1.070;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;229955;30.698
"ITA";380;"Italy";2.458;0.755;7.506;0.711;38.884;29411;42.789;12.075;51.780;0.000;0.000;0.058;80.9226;0;24994.660;3501.900;10741.869;18773.570;11048.927;0.893;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;7000000;99.800
"JAM";388;"Jamaica";1.788;0.934;4.837;0.528;24.278;1083;18.156;-77.311;66.970;0.000;100.000;0.012;100;0;3650.390;1326.785;3844.877;3598.210;3139.550;-0.377;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;22626;8.000
"JOR";400;"Jordan";1.097;1.648;3.115;0.282;12.165;8824;31.250;36.788;15.479;15.332;0.000;0.189;16.2407;0;3846.694;1663.149;2582.962;4088.574;3248.945;0.390;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;86370;1.000
"JPN";392;"Japan";2.132;0.463;6.275;0.604;37.173;36450;37.540;137.963;42.879;0.000;0.006;0.032;97.7372;0;26219.790;1920.721;11343.781;20742.387;11248.286;1.477;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;12500000;0.000
"KAZ";398;"Kazakhstan";0.372;0.281;1.172;0.108;2.913;269970;48.180;67.313;9.877;9.747;0.000;2.206;0;0;4594.435;;;5648.025;;-0.877;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;1253389;41.900
"KEN";404;"Kenya";0.669;0.559;1.781;0.195;5.427;56914;0.534;37.861;33.657;11.629;51.028;0.409;9.38789;0;1018.731;650.601;941.848;1030.687;912.759;-1.050;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;86447.906;11.083;2.705;3.359;1.361;1322790;0.000
"KGZ";417;"Kyrgyzstan";4.287;0.948;13.105;1.246;69.767;19180;41.464;74.556;12.534;0.000;0.000;1.918;0;0;1560.000;;;2167.491;;-0.740;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;325361;15.000
"KHM";116;"Cambodia";0.540;0.146;1.421;0.154;6.094;17652;12.707;104.921;22.213;0.000;100.000;0.170;25.378;0;1859.063;481.977;579.707;1141.000;766.583;-1.013;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0.000;;;;;1383162;0.000
"KIR";296;"Kiribati";0.010;0.015;0.021;0.003;0.000;81;0.699;-46.958;45.679;0.000;100.000;0.000;100;0;;;;;;-0.145;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;10513;
"KNA";659;"Saint Kitts and Nevis";0.006;0.010;0.012;0.003;0.000;26;17.274;-62.704;100.000;0.000;100.000;0.001;100;0;11224.700;;;;;0.060;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;743;
"KOR";410;"Republic of Korea";1.960;0.747;5.807;0.546;33.976;9873;36.356;127.806;43.556;0.000;0.000;0.042;95.0484;0;16172.410;853.890;3161.702;14219.083;4725.635;0.717;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;2308243;0.000
"KWT";414;"Kuwait";0.245;0.271;0.691;0.063;0.000;1782;29.354;47.613;0.000;0.000;0.000;0.040;98.6018;0;15958.920;28878.139;18161.664;10082.733;19359.766;0.770;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;42006;0.000
"LAO";418;"Lao People's Democratic Republic";2.553;1.218;6.976;0.723;49.807;23080;18.495;103.774;12.068;0.000;54.794;0.267;6.8206;0;1569.901;612.943;783.584;1203.223;826.834;-1.150;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0.000;;;;;348220;0.000
"LBN";422;"Lebanon";4.197;2.170;12.042;1.103;71.642;1023;33.922;35.897;72.415;0.000;0.000;0.027;100;0;4216.305;2428.740;3461.337;3405.220;2881.809;-0.177;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0.000;;;;;313584;0.500
"LBR";430;"Liberia";0.263;0.259;0.695;0.083;0.459;9632;6.448;-9.307;15.820;0.000;100.000;0.096;54.5897;9901;;1054.759;1247.827;990.059;1195.255;-2.113;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6789.634;3.776;9.777;3.595;5.227;143361;0.000
"LBY";434;"Libyan Arab Jamahiriya";0.403;0.337;1.124;0.105;1.535;175954;27.041;18.029;2.756;48.242;0.000;0.501;9.92269;0;;857.168;5515.242;2312.993;3978.577;-1.010;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;8847.930;8.422;16.775;0.610;2.151;500000;0.000
"LCA";662;"Saint Lucia";2.147;1.351;5.841;0.590;35.476;61;13.894;-60.965;32.527;0.000;100.000;0.002;100;0;5620.647;;;;;0.060;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;1335;
"LIE";438;"Liechtenstein";5.328;2.927;17.180;1.554;76.379;16;47.145;9.554;0.000;0.000;0.000;0.305;0;0;;;;;;1.515;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"LKA";144;"Sri Lanka";0.650;0.446;1.712;0.197;7.786;6463;7.630;80.701;51.595;0.000;100.000;0.035;100;0;3625.534;1252.871;1540.745;3633.984;1891.942;-0.067;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;956352;0.000
"LSO";426;"Lesotho";6.202;4.165;17.595;1.559;90.249;3035;-29.580;28.254;54.695;0.000;0.000;0.246;0;308;2122.544;355.366;714.936;1490.346;824.398;-0.083;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0.000;7.202;3.035;6.637;4.846;26096;0.000
"LTU";440;"Lithuania";0.175;0.229;0.578;0.049;0.000;6268;55.336;23.905;62.064;0.000;0.000;0.256;13.8029;0;8767.231;;;6346.336;;0.330;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;161557;100.000
"LUX";442;"Luxembourg";0.881;0.581;2.844;0.242;1.654;259;49.778;6.095;25.662;0.000;0.000;0.259;0;0;57792.090;;;;;1.767;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;26534;99.200
"LVA";428;"Latvia";0.154;0.136;0.522;0.044;0.000;6205;56.854;24.931;77.568;0.000;0.000;0.265;15.7566;0;7903.728;;;7693.585;;0.177;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;122643;100.000
"MAC";446;"Macao Special Administrative Region of China";0.732;0.527;1.921;0.185;4.168;3;22.169;113.555;0.000;0.000;0.000;0.000;100;0;18581.940;;;;;0.195;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0.000;;;;;13636;
"MAR";504;"Morocco";2.413;1.291;6.853;0.629;36.083;44630;31.882;-6.302;43.968;0.614;0.000;0.164;35.4198;0;3513.834;1455.361;1830.967;2657.562;1952.039;0.133;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0.000;5.794;13.676;1.023;4.571;1586397;8.000
"MCO";492;"Monaco";6.612;6.043;20.834;2.106;100.000;;43.753;7.422;0.000;0.000;0.000;0.000;100;0;;;;;;;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"MDA";498;"Republic of Moldova";0.799;0.573;2.527;0.222;0.403;3288;47.205;28.468;62.015;0.000;0.000;0.197;11.0077;0;1331.461;;;2127.236;;-0.317;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;147311;99.100
"MDG";450;"Madagascar";1.169;0.738;3.185;0.328;12.672;58154;-19.379;46.700;50.804;0.000;65.224;0.087;61.0618;0;825.244;951.010;1126.290;705.899;966.595;-0.653;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1.25e+05;9.686;0.904;5.732;3.454;544859;0.600
"MDV";462;"Maldives";0.012;0.012;0.024;0.004;0.000;30;3.566;73.215;30.000;0.000;100.000;0.000;100;0;;;;;;0.350;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;;
"MEX";484;"Mexico";1.732;0.825;4.795;0.491;27.341;194395;23.941;-102.536;31.934;1.704;27.928;0.183;38.4165;0;9046.270;2365.019;5158.340;7274.678;4824.431;-0.473;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.000;;;;;4514402;30.000
"MHL";584;"Marshall Islands";0.014;0.016;0.033;0.004;0.000;18;8.027;169.168;50.000;0.000;100.000;0.000;100;0;;;;;;-0.405;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;6267;
"MKD";807;"The former Yugoslav Republic of Macedonia";2.665;0.885;8.190;0.783;49.405;2543;41.600;21.701;52.895;0.000;0.000;0.135;14.0538;0;6059.698;;;3340.784;;-0.433;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;169275;96.310
"MLI";466;"Mali";0.147;0.305;0.393;0.042;0.228;122019;17.355;-3.524;18.562;26.132;11.688;1.014;0;0;779.597;456.875;612.963;891.656;638.532;-0.527;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;8.42e+05;3.897;10.790;2.263;4.311;1063541;0.000
"MLT";470;"Malta";1.527;1.171;4.292;0.381;14.699;32;35.925;14.407;100.000;0.000;0.000;0.002;100;0;18255.730;;;;;1.003;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;10000;99.500
"MMR";104;"Myanmar";1.988;0.332;5.517;0.577;34.731;65755;21.123;96.514;25.529;0.000;50.245;0.287;30.3948;0;;395.686;662.868;1376.179;725.201;-1.300;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;3482202;0.000
"MNG";496;"Mongolia";1.057;0.765;3.352;0.309;12.623;156650;46.836;103.070;44.883;1.490;0.000;1.694;0;0;1620.436;435.422;912.424;1084.652;891.187;0.000;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;578516;1.000
"MNP";580;"Northern Mariana Islands";1.700;1.484;4.572;0.504;25.440;46;15.800;145.630;4.130;0.000;100.000;0.000;100;0;;;;;;;0;0;0;1;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"MOZ";508;"Mozambique";0.612;0.438;1.653;0.170;4.540;78638;-17.264;35.549;55.384;0.000;87.365;0.210;30.756;0;876.868;1133.420;1403.620;1364.891;1278.820;-0.850;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;6.26e+05;9.264;2.185;5.268;3.298;786003;0.000
"MRT";478;"Mauritania";0.115;0.147;0.308;0.034;0.278;103070;20.264;-10.336;2.042;74.857;0.000;0.511;5.9946;0;1729.208;463.918;961.991;1016.920;856.331;-0.523;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1.64e+05;4.424;11.914;2.255;4.973;221211;0.000
"MSR";500;"Montserrat";3.395;2.824;9.256;1.027;69.921;10;16.736;-62.193;0.000;0.000;100.000;0.000;100;0;;;;;;;0;0;0;0;1;0;;;;;;0;0;0;0;0;0;0;0;0;0;0.000;;;;;218;
"MTQ";474;"Martinique";1.206;0.659;3.311;0.378;11.619;106;14.649;-61.021;61.658;0.000;100.000;0.003;100;0;;;;;;1.255;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;3580;
"MUS";480;"Mauritius";0.949;0.788;2.436;0.283;9.101;203;-20.131;57.879;52.217;0.000;100.000;0.006;100;0;9622.512;2489.759;3969.069;10652.315;4876.056;0.793;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0.000;10.310;0.032;6.274;3.884;0;16.000
"MWI";454;"Malawi";1.027;0.821;2.759;0.300;10.542;9408;-13.216;34.301;32.281;0.000;39.224;0.496;0;0;586.252;324.056;591.720;656.235;507.871;-0.530;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1.25e+05;9.267;2.183;4.821;2.922;348220;0.000
"MYS";458;"Malaysia";1.009;0.374;2.684;0.316;12.870;32855;3.791;109.709;49.196;0.000;100.000;0.057;83.2625;0;8926.452;1559.265;2648.422;8165.590;3467.013;0.517;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.000;;;;;296322;0.000
"MYT";175;"Mayotte";2.673;2.483;5.809;0.720;42.602;37.4;-12.820;45.143;50.771;0.000;100.000;0.002;100;0;;;;;;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0.000;10.108;1.551;4.995;2.722;0;
"NAM";516;"Namibia";0.913;0.423;2.489;0.235;9.723;82329;-22.140;17.219;25.173;13.861;0.000;0.305;17.6842;55728;6057.856;2159.705;3333.925;3637.062;3181.151;0.293;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;190.351;5.683;5.792;5.981;4.685;93798;10.850
"NCL";540;"New Caledonia";1.586;0.621;4.338;0.492;24.913;1828;-21.299;165.663;54.444;0.000;94.292;0.008;100;0;22140.000;;;;;-0.860;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0.000;;;;;31251;
"NER";562;"Niger";0.178;0.222;0.481;0.051;0.245;126670;17.424;9.401;8.236;39.210;0.032;1.186;0;0;703.141;617.031;658.875;486.397;683.153;-0.837;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;19911.727;5.159;9.223;1.768;2.954;705385;0.000
"NFK";574;"Norfolk Island";1.154;0.812;3.266;0.351;12.248;4;-29.027;167.956;;0.000;0.000;0.000;100;0;;;;;;;0;0;0;1;0;0;;;;;;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
"NGA";566;"Nigeria";0.312;0.229;0.833;0.093;1.563;91077;9.585;8.092;56.263;0.000;73.440;0.491;9.17532;0;882.590;752.681;1416.623;1251.178;1109.575;-1.290;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;2.02e+06;5.224;9.151;2.642;3.314;5909180;0.000
"NIC";558;"Nicaragua";0.992;0.768;2.671;0.286;11.923;12140;12.841;-85.033;33.249;0.000;100.000;0.077;65.2217;0;3277.640;1615.788;3128.881;1520.552;2131.895;-0.657;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0.000;;;;;100069;51.000
"NIU";570;"Niue";0.177;0.205;0.472;0.055;0.000;26;-19.050;-169.860;26.923;0.000;100.000;0.000;100;0;;;;;;;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000;;;;;;
