"i";"n";"elev";"percforest"
"1";0;420;3
"2";0;420;3
"3";0;420;3
"4";0;450;21
"5";0;450;21
"6";0;450;21
"7";0;1050;32
"8";0;1050;32
"9";15;1050;32
"10";0;1110;35
"11";0;1110;35
"12";0;1110;35
"13";0;510;2
"14";0;510;2
"15";2;510;2
"16";7;630;60
"17";0;630;60
"18";7;630;60
"19";0;590;5
"20";0;590;5
"21";0;590;5
"22";0;530;13
"23";8;530;13
"24";0;530;13
"25";0;1140;50
"26";0;1140;50
"27";3;1140;50
"28";6;770;57
"29";8;770;57
"30";0;770;57
"31";0;1220;84
"32";0;1220;84
"33";0;1220;84
"34";0;460;17
"35";0;460;17
"36";4;460;17
"37";12;1010;58
"38";10;1010;58
"39";0;1010;58
"40";0;760;26
"41";7;760;26
"42";0;760;26
"43";0;1300;32
"44";0;1300;32
"45";7;1300;32
"46";0;1270;66
"47";10;1270;66
"48";0;1270;66
"49";10;380;45
"50";0;380;45
"51";8;380;45
"52";0;550;31
"53";0;550;31
"54";0;550;31
"55";0;390;8
"56";0;390;8
"57";16;390;8
"58";0;1380;78
"59";0;1380;78
"60";0;1380;78
"61";0;530;37
"62";0;530;37
"63";0;530;37
"64";0;1190;18
"65";0;1190;18
"66";4;1190;18
"67";0;1490;54
"68";0;1490;54
"69";0;1490;54
"70";0;920;6
"71";0;920;6
"72";0;920;6
"73";0;620;3
"74";0;620;3
"75";0;620;3
"76";11;540;27
"77";18;540;27
"78";9;540;27
"79";0;820;56
"80";6;820;56
"81";4;820;56
"82";0;1220;66
"83";0;1220;66
"84";0;1220;66
"85";0;1180;43
"86";17;1180;43
"87";5;1180;43
"88";0;730;40
"89";0;730;40
"90";0;730;40
"91";0;580;5
"92";0;580;5
"93";9;580;5
"94";0;490;3
"95";0;490;3
"96";5;490;3
"97";0;1270;52
"98";13;1270;52
"99";0;1270;52
"100";0;930;38
"101";0;930;38
"102";0;930;38
"103";22;510;49
"104";8;510;49
"105";6;510;49
"106";0;1830;15
"107";0;1830;15
"108";0;1830;15
"109";7;1940;62
"110";0;1940;62
"111";0;1940;62
"112";0;1090;82
"113";11;1090;82
"114";0;1090;82
"115";0;2010;0
"116";0;2010;0
"117";0;2010;0
"118";0;790;5
"119";0;790;5
"120";8;790;5
"121";0;1730;58
"122";0;1730;58
"123";0;1730;58
"124";0;1120;98
"125";13;1120;98
"126";9;1120;98
"127";0;620;33
"128";0;620;33
"129";0;620;33
"130";0;590;53
"131";10;590;53
"132";0;590;53
"133";0;1840;17
"134";0;1840;17
"135";0;1840;17
"136";0;930;16
"137";0;930;16
"138";5;930;16
"139";0;540;60
"140";4;540;60
"141";0;540;60
"142";0;420;2
"143";0;420;2
"144";0;420;2
"145";0;1400;52
"146";2;1400;52
"147";0;1400;52
"148";0;890;58
"149";0;890;58
"150";0;890;58
"151";0;1460;50
"152";3;1460;50
"153";0;1460;50
"154";0;1850;12
"155";0;1850;12
"156";0;1850;12
"157";0;1420;29
"158";0;1420;29
"159";0;1420;29
"160";0;600;16
"161";0;600;16
"162";0;600;16
"163";7;550;83
"164";0;550;83
"165";11;550;83
"166";6;750;79
"167";0;750;79
"168";4;750;79
"169";0;1790;51
"170";0;1790;51
"171";0;1790;51
"172";4;680;8
"173";0;680;8
"174";10;680;8
"175";0;990;45
"176";0;990;45
"177";4;990;45
"178";9;520;5
"179";0;520;5
"180";0;520;5
"181";6;760;64
"182";0;760;64
"183";0;760;64
"184";0;370;14
"185";4;370;14
"186";0;370;14
"187";9;2710;0
"188";0;2710;0
"189";0;2710;0
"190";0;650;0
"191";22;650;0
"192";14;650;0
"193";0;660;30
"194";0;660;30
"195";0;660;30
"196";0;730;17
"197";0;730;17
"198";0;730;17
"199";0;460;65
"200";0;460;65
"201";14;460;65
"202";0;360;30
"203";7;360;30
"204";0;360;30
"205";0;250;0
"206";8;250;0
"207";3;250;0
"208";9;1940;5
"209";4;1940;5
"210";7;1940;5
"211";9;2420;0
"212";9;2420;0
"213";11;2420;0
"214";19;1320;66
"215";0;1320;66
"216";13;1320;66
"217";17;790;8
"218";0;790;8
"219";0;790;8
"220";0;470;75
"221";0;470;75
"222";0;470;75
"223";0;410;68
"224";0;410;68
"225";0;410;68
"226";0;1940;72
"227";0;1940;72
"228";0;1940;72
"229";0;1570;95
"230";0;1570;95
"231";0;1570;95
"232";0;1880;57
"233";0;1880;57
"234";0;1880;57
"235";0;1290;64
"236";0;1290;64
"237";0;1290;64
"238";0;1340;44
"239";0;1340;44
"240";0;1340;44
"241";0;880;44
"242";0;880;44
"243";0;880;44
"244";0;710;34
"245";0;710;34
"246";8;710;34
"247";0;630;21
"248";0;630;21
"249";0;630;21
"250";0;450;23
"251";0;450;23
"252";0;450;23
"253";8;2360;1
"254";0;2360;1
"255";9;2360;1
"256";0;1650;43
"257";7;1650;43
"258";0;1650;43
"259";0;2050;30
"260";10;2050;30
"261";0;2050;30
"262";0;790;26
"263";0;790;26
"264";0;790;26
"265";10;730;7
"266";9;730;7
"267";0;730;7
"268";0;490;87
"269";0;490;87
"270";0;490;87
"271";0;840;49
"272";0;840;49
"273";4;840;49
"274";8;450;39
"275";9;450;39
"276";0;450;39
"277";0;1010;93
"278";1;1010;93
"279";0;1010;93
"280";0;1450;48
"281";0;1450;48
"282";7;1450;48
"283";0;850;11
"284";8;850;11
"285";0;850;11
"286";10;1240;73
"287";0;1240;73
"288";16;1240;73
"289";0;570;12
"290";0;570;12
"291";0;570;12
"292";0;1500;42
"293";0;1500;42
"294";9;1500;42
"295";0;1420;26
"296";0;1420;26
"297";0;1420;26
"298";0;780;13
"299";0;780;13
"300";0;780;13
"301";0;470;2
"302";0;470;2
"303";8;470;2
"304";0;2080;15
"305";0;2080;15
"306";0;2080;15
"307";0;2020;54
"308";0;2020;54
"309";0;2020;54
"310";0;1750;74
"311";0;1750;74
"312";0;1750;74
"313";4;1630;45
"314";16;1630;45
"315";8;1630;45
"316";0;640;61
"317";6;640;61
"318";0;640;61
"319";0;530;33
"320";0;530;33
"321";0;530;33
"323";13;660;54
"324";14;660;54
"325";0;1360;69
"327";0;1360;69
"328";0;1290;47
"329";0;1290;47
"330";6;1290;47
"331";0;670;5
"332";0;670;5
"333";0;670;5
"334";0;480;36
"335";9;480;36
"336";0;480;36
"337";0;2000;60
"338";0;2000;60
"339";0;2000;60
"340";18;800;72
"341";10;800;72
"342";10;800;72
"343";0;1010;29
"344";0;1010;29
"345";0;1010;29
"346";3;680;7
"347";0;680;7
"348";0;680;7
"349";0;490;7
"350";8;490;7
"351";8;490;7
"352";0;400;13
"353";0;400;13
"354";0;400;13
"355";0;320;2
"356";0;320;2
"357";5;320;2
"358";0;1400;16
"359";0;1400;16
"360";0;1400;16
"361";0;590;62
"362";14;590;62
"363";0;590;62
"364";0;430;9
"365";0;430;9
"366";0;430;9
"367";0;410;37
"368";12;410;37
"369";0;410;37
"370";0;510;71
"371";0;510;71
"372";0;510;71
"373";0;1930;41
"374";0;1930;41
"375";0;1930;41
"376";0;1560;19
"377";5;1560;19
"378";0;1560;19
"379";0;700;24
"380";0;700;24
"381";0;700;24
"382";4;440;10
"383";0;440;10
"384";0;440;10
"385";0;480;0
"386";3;480;0
"387";0;480;0
"388";6;490;70
"389";0;490;70
"390";0;490;70
"391";0;1850;45
"392";0;1850;45
"393";0;1850;45
"394";0;490;18
"395";0;490;18
"396";0;490;18
"397";0;480;20
"398";0;480;20
"399";0;480;20
"400";0;440;3
"401";0;440;3
"402";0;440;3
"403";6;820;20
"404";0;820;20
"405";12;820;20
"406";0;670;36
"407";0;670;36
"408";0;670;36
"409";9;610;19
"410";10;610;19
"411";0;610;19
"412";0;1700;35
"413";0;1700;35
"414";6;1700;35
"415";0;900;87
"416";0;900;87
"417";0;900;87
"418";4;1250;51
"419";0;1250;51
"420";0;1250;51
"421";0;910;21
"422";0;910;21
"423";8;910;21
"424";6;540;11
"425";0;540;11
"426";0;540;11
"427";0;450;29
"428";18;450;29
"429";11;450;29
"430";0;470;55
"431";0;470;55
"432";0;470;55
"433";0;1880;32
"434";0;1880;32
"435";7;1880;32
"436";0;1400;32
"437";0;1400;32
"438";7;1400;32
"439";0;470;3
"440";0;470;3
"441";6;470;3
"442";0;830;58
"443";11;830;58
"444";0;830;58
"445";4;1950;36
"446";4;1950;36
"447";19;1950;36
"448";8;1660;86
"449";16;1660;86
"450";19;1660;86
"451";11;1210;75
"452";0;1210;75
"453";12;1210;75
"454";13;380;23
"455";0;380;23
"456";0;380;23
"457";0;1840;0
"458";0;1840;0
"459";0;1840;0
"460";0;950;71
"461";0;950;71
"462";0;950;71
"463";0;880;69
"464";0;880;69
"465";0;880;69
"466";0;480;6
"467";0;480;6
"468";0;480;6
"469";0;550;67
"470";0;550;67
"471";0;550;67
"472";0;550;67
"473";0;550;67
"474";0;550;67
"475";0;340;42
"476";0;340;42
"477";0;340;42
"478";0;550;72
"479";0;550;72
"480";0;550;72
"481";0;1320;79
"482";0;1320;79
"483";0;1320;79
"484";8;260;47
"485";0;260;47
"486";0;260;47
"487";0;2010;26
"488";0;2010;26
"489";0;2010;26
"490";0;1130;56
"491";0;1130;56
"492";6;1130;56
"493";0;1910;18
"494";0;1910;18
"495";0;1910;18
"496";0;1630;33
"497";6;1630;33
"498";0;1630;33
"499";0;1540;21
"500";0;1540;21
"501";6;1540;21
"502";11;1340;39
"503";8;1340;39
"504";0;1340;39
"505";0;1180;69
"506";0;1180;69
"507";0;1180;69
"508";0;830;42
"509";0;830;42
"511";6;540;98
"512";10;540;98
"514";0;1410;52
"515";3;1410;52
"516";0;1410;52
"517";0;1320;90
"518";0;1320;90
"519";4;1320;90
"520";0;890;50
"521";8;890;50
"522";0;890;50
"523";9;580;54
"524";0;580;54
"525";6;580;54
"527";0;500;9
"528";0;500;9
"529";0;1220;51
"530";0;1220;51
"531";10;1220;51
"532";0;710;35
"533";4;710;35
"534";0;710;35
"535";0;1820;57
"536";0;1820;57
"538";0;520;18
"539";0;520;18
"540";0;520;18
"541";0;1890;12
"542";0;1890;12
"543";0;1890;12
"546";10;1650;34
"547";0;1390;68
"548";0;1390;68
"549";0;1390;68
"550";11;1390;63
"551";14;1390;63
"552";9;1390;63
"553";0;1290;48
"554";5;1290;48
"555";0;1290;48
"556";0;1810;33
"557";0;1810;33
"558";0;1810;33
"560";14;1130;90
"561";8;1130;90
"562";0;480;33
"564";0;480;33
"565";0;1040;37
"566";0;1040;37
"567";8;1040;37
"568";0;410;8
"569";0;410;8
"570";5;410;8
"571";0;2030;36
"572";5;2030;36
"573";0;2030;36
"574";0;1880;66
"575";0;1880;66
"577";22;950;56
"578";7;950;56
"579";6;950;56
"580";0;450;0
"581";0;450;0
"582";0;450;0
"583";6;950;41
"584";0;950;41
"585";0;950;41
"586";0;1070;63
"587";8;1070;63
"588";7;1070;63
"589";0;1980;0
"590";0;1980;0
"591";0;1980;0
"592";0;1350;35
"593";0;1350;35
"594";8;1350;35
"595";0;540;14
"596";0;540;14
"597";0;540;14
"598";0;420;1
"599";13;420;1
"601";0;1420;27
"602";0;1420;27
"603";0;1420;27
"604";0;2240;0
"605";17;2240;0
"606";0;2240;0
"607";0;1980;6
"608";0;1980;6
"609";0;1980;6
"610";0;2330;0
"611";0;2330;0
"612";0;2330;0
"613";0;2050;1
"614";5;2050;1
"615";0;2050;1
"616";0;1180;58
"617";0;1180;58
"618";0;1180;58
"620";3;2010;9
"621";0;2010;9
"623";6;2220;14
"624";0;2220;14
"625";10;2310;2
"626";0;2310;2
"628";0;2190;30
"629";0;2190;30
"630";0;2190;30
"631";0;1770;93
"632";0;1770;93
"633";0;1770;93
"634";0;1830;82
"635";0;1830;82
"636";0;1830;82
"637";0;1870;81
"638";0;1870;81
"640";5;1840;82
"641";0;1840;82
"642";10;1840;82
"643";0;2420;0
"644";0;2420;0
"645";0;2420;0
"646";4;1820;69
"647";0;1820;69
"648";7;1820;69
"649";0;1850;53
"650";0;1850;53
"651";7;1850;53
"652";0;2250;0
"653";0;2250;0
"654";0;2250;0
"656";0;2250;0
"657";0;2250;0
"658";0;2450;0
"659";0;2450;0
"660";5;2450;0
"661";0;2350;0
"662";0;2350;0
"663";0;2350;0
"664";0;2650;0
"665";17;2650;0
"666";10;2650;0
"667";0;2750;0
"668";0;2750;0
"669";0;2750;0
"670";0;2450;0
"672";0;2450;0
"673";0;1950;0
"674";0;1950;0
"675";0;1950;0
"680";7;1850;1
"684";17;2050;0
"685";14;1850;0
"686";10;1850;0
"687";14;1850;0
"688";10;2050;15
"690";14;2050;15
"691";16;2150;0
